Organization Name,Organization Name URL,Industries,Headquarters Location,Description,CB Rank (Company),Estimated Revenue Range,Founded Date,Founded Date Precision,Industry Groups,Number of Founders,Number of Employees,Number of Funding Rounds,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD),Number of Investors,IPO Status,IPO Date,Acquisition Status,Number of Events,Number of Lead Investors,Funding Status,Last Funding Date,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount Currency (in USD),Last Funding Type,IPqwery - Total Patents,IPqwery - Total Trademarks,Investment Stage
CreatorIQ,https://www.crunchbase.com/organization/creatoriq,"Advertising Platforms, Brand Marketing, SaaS, Social Media, Social Media Marketing","Culver City, California, United States",CreatorIQ's Enterprise Creator Cloud is the system of record for global companies to manage & optimize influencer-driven campaigns at scale.,605,$10M to $50M,2014-01-01,year,"Advertising, Internet Services, Media and Entertainment, Sales and Marketing, Software",1,101-250,3,15500000,USD,15500000,5,Private,,,,1,Early Stage Venture,2019-06-12,12000000,USD,12000000,Series B,0,3,
Alignment Healthcare,https://www.crunchbase.com/organization/alignment-healthcare,"Health Care, Hospital, Medical","Orange, California, United States",Alignment Healthcare is dedicated to transforming the complex and confusing process of medical treatment.,646,$500M to $1B,2013-01-01,year,Health Care,1,501-1000,3,375000000,USD,375000000,5,Private,,,1,2,Late Stage Venture,2020-03-04,135000000,USD,135000000,Series C,0,5,
ICM Partners,https://www.crunchbase.com/organization/icm-partners,"eSports, Film, Music, Publishing, TV","Los Angeles, California, United States","ICM Partners is one of the world’s largest talent and literary agencies, with offices in Los Angeles, New York, Washington, D.C.",658,$10M to $50M,1975-01-01,year,"Content and Publishing, Media and Entertainment, Music and Audio, Sports, Video",,251-500,1,150000000,USD,150000000,1,Private,,Made Acquisitions,1,1,Private Equity,2019-12-16,150000000,USD,150000000,Private Equity,,,
Wag,https://www.crunchbase.com/organization/wag,"Apps, Crowdsourcing, Pet","Los Angeles, California, United States",Wag is a mobile application used to instantly find trusted and certified dog walkers.,690,$100M to $500M,2014-10-01,day,"Apps, Community and Lifestyle, Software",4,51-100,8,361450000,USD,361450000,19,Private,,,,6,,2018-08-29,,,,Secondary Market,0,8,
BlackLine,https://www.crunchbase.com/organization/blackline,"Enterprise Software, SaaS, Software, Task Management","Woodland Hills, California, United States",BlackLine offers scalable applications that automate the financial close and other accounting processes.,837,$50M to $100M,2001-01-01,year,Software,1,501-1000,1,220000000,USD,220000000,3,Public,2016-10-27,Made Acquisitions,12,,IPO,2013-08-16,220000000,USD,220000000,Private Equity,1,19,
SHIFT,https://www.crunchbase.com/organization/shift,"Advertising, Advertising Platforms, Apps, Real Time, Social Media","Santa Monica, California, United States",SHIFT is a leading cross-network social advertising platform for brands and agencies.,854,,2010-01-01,year,"Advertising, Apps, Internet Services, Media and Entertainment, Sales and Marketing, Software",2,51-100,5,14000000,USD,14000000,26,Private,,Was Acquired,,5,M&A,2013-12-10,6000000,USD,6000000,Series B,6,3,
Albert,https://www.crunchbase.com/organization/albert-3,"Finance, Financial Services, Internet, Mobile, Software","Los Angeles, California, United States",Albert manages your money with automated software and human financial guidance.,856,$1M to $10M,2015-11-01,day,"Financial Services, Internet Services, Mobile, Software",2,51-100,6,72875000,USD,72875000,13,Private,,,1,5,Early Stage Venture,2019-12-06,50000000,USD,50000000,Series B,0,2,
CBRE Group,https://www.crunchbase.com/organization/cbre-group,"Consulting, Industrial, Intellectual Property, Project Management, Real Estate","Los Angeles, California, United States","CBRE Group, Inc. is a holding company that conducts all of its operations through its indirect subsidiaries",862,$1B to $10B,1906-08-27,day,"Professional Services, Real Estate",,10001+,2,450000000,USD,450000000,1,Public,2004-06-11,Made Acquisitions,55,1,IPO,2019-11-18,300000000,USD,300000000,Post-IPO Debt,1,73,Early Stage Venture
OPSkins,https://www.crunchbase.com/organization/opskins,"E-Commerce, Gaming, Internet","Santa Monica, California, United States","OPSkins Marketplace is an online trading platform, where gamers around the world buy and sell digital items using real-life money.",875,$1M to $10M,2015-01-01,year,"Commerce and Shopping, Gaming, Internet Services",3,11-50,1,41000000,USD,41000000,,Private,,,,,,2017-11-13,41000000,USD,41000000,Initial Coin Offering,,,
CloudKitchens,https://www.crunchbase.com/organization/cloudkitchens,"Delivery Service, Real Estate, Restaurants, Software","Los Angeles, California, United States",CloudKitchens is a real estate company that provides smart kitchens for delivery-only restaurants.,881,,2016-01-01,year,"Food and Beverage, Real Estate, Software, Transportation",1,1-10,1,400000000,USD,400000000,1,Private,,Made Acquisitions,,1,,2019-11-07,400000000,USD,400000000,Venture - Series Unknown,,,
Criteria,https://www.crunchbase.com/organization/criteria-corp,"Education, SaaS, Software","West Hollywood, California, United States","Criteria is a provider of pre-employment tests, including aptitude, personality, and skills tests.",926,,2006-07-01,day,"Education, Software",2,51-100,2,64250000,USD,64250000,2,Private,,Made Acquisitions,,2,Private Equity,2019-05-17,56000000,USD,56000000,Private Equity,1,4,
GumGum,https://www.crunchbase.com/organization/gumgum,"Advertising, Advertising Platforms, Analytics, Artificial Intelligence, Brand Marketing, Computer Vision, Digital Media, Image Recognition, Natural Language Processing, Sports","Santa Monica, California, United States",GumGum is an artificial intelligence company focusing on computer vision and natural language processing.,949,$1M to $10M,2008-01-01,year,"Advertising, Artificial Intelligence, Data and Analytics, Hardware, Media and Entertainment, Sales and Marketing, Science and Engineering, Software, Sports",2,251-500,6,58825000,USD,58825000,7,Private,,,13,5,Late Stage Venture,2020-02-13,22000000,USD,22000000,Series D,18,8,
Masimo,https://www.crunchbase.com/organization/masimo,"Biotechnology, Health Care, Manufacturing, Medical Device","Irvine, California, United States","Masimo Corporation, a medical technology company, develops, manufactures, and markets noninvasive patient monitoring products.",956,$100M to $500M,1989-01-01,year,"Biotechnology, Health Care, Manufacturing, Science and Engineering",1,1001-5000,3,4950000,USD,4950000,3,Public,2007-08-08,Made Acquisitions,,2,IPO,2017-08-26,,,,Post-IPO Equity,443,220,
Flowspace,https://www.crunchbase.com/organization/flowspace,"Logistics, Supply Chain Management, Warehousing","Los Angeles, California, United States",Flowspace is the Largest On-Demand Warehousing and Fulfillment Network,959,Less than $1M,2017-01-01,year,Transportation,2,51-100,4,15520000,USD,15520000,6,Private,,,1,2,Early Stage Venture,2019-04-16,12000000,USD,12000000,Series A,0,1,
The Trade Desk,https://www.crunchbase.com/organization/the-trade-desk,"Digital Media, Internet, Social, Video Advertising","Ventura, California, United States",The Trade Desk is an online demand-side platform that provides buying tools for digital media buyers.,974,$100M to $500M,2009-10-01,day,"Advertising, Internet Services, Media and Entertainment, Sales and Marketing",2,501-1000,7,257500000,USD,257500000,18,Public,2016-09-21,Made Acquisitions,18,5,IPO,2016-05-09,125000000,USD,125000000,Debt Financing,1,17,
Musical.ly,https://www.crunchbase.com/organization/musical-ly,"Internet, Music, Video","Santa Monica, California, United States","Musical.ly is a video social network for creating, sharing, and discovering short videos.",981,,2014-01-01,year,"Internet Services, Media and Entertainment, Music and Audio, Video",2,101-250,5,150350000,USD,150350000,14,Private,,Was Acquired,2,4,M&A,2016-05-13,133500000,USD,133500000,Series C,4,1,
StackCommerce,https://www.crunchbase.com/organization/stackcommerce,"Apps, E-Commerce, E-Commerce Platforms, Software","Venice, California, United States","StackCommerce is a native commerce platform with turnkey solutions that increases user engagement, growth, and monetization.","1,019",,2011-01-01,year,"Apps, Commerce and Shopping, Internet Services, Software",1,51-100,2,800000,USD,800000,7,Private,,Made Acquisitions,1,1,Seed,2012-07-24,800000,USD,800000,Seed,1,9,
Honey,https://www.crunchbase.com/organization/honey-science,"Coupons, E-Commerce, Retail, Shopping","Los Angeles, California, United States",Honey helps people make smarter choices when they shop online.,"1,046",$10M to $50M,2012-10-01,day,Commerce and Shopping,2,251-500,4,31800000,USD,31800000,12,Private,,Was Acquired,2,2,M&A,2017-10-24,26000000,USD,26000000,Series B,3,25,
BSAMPLY,https://www.crunchbase.com/organization/bsamply,"B2B, Data Integration, E-Commerce, Fashion, Operating Systems, SaaS, Sales Automation, Software, Textiles","Los Angeles, California, United States",BSAMPLY is a B2B Sales Platform designed to make sales processes easier and faster. From research to purchase.,"1,083",,2017-08-31,day,"Clothing and Apparel, Commerce and Shopping, Data and Analytics, Design, Information Technology, Manufacturing, Platforms, Sales and Marketing, Software",2,11-50,3,1120000,USD,1120000,4,Private,,,,1,Seed,2020-03-20,100000,USD,100000,Seed,0,3,
Talespin,https://www.crunchbase.com/organization/talespin-company,"Artificial Intelligence, Augmented Reality, Corporate Training, Enterprise Software, Software, Training, Virtual Reality","Culver City, California, United States","Talespin creates enterprise XR (virtual, augmented, and mixed reality) workforce transformation solutions.","1,126",$1M to $10M,2015-01-01,year,"Artificial Intelligence, Data and Analytics, Education, Hardware, Science and Engineering, Software",2,51-100,3,20595000,USD,20595000,3,Private,,Made Acquisitions,1,1,Early Stage Venture,2020-03-03,15000000,USD,15000000,Series B,0,1,
ServiceTitan,https://www.crunchbase.com/organization/servicetitan,"CRM, Home Services, Information Technology, Real Estate, SaaS, Software","Glendale, California, United States",ServiceTitan is the service management software that helps leading home services businesses generate more leads and close more sales.,"1,137",$50M to $100M,2013-01-01,year,"Information Technology, Real Estate, Sales and Marketing, Software",2,501-1000,5,325955000,USD,325955000,9,Private,,Made Acquisitions,1,4,Late Stage Venture,2018-11-14,165000000,USD,165000000,Series D,0,9,
Rockley Photonics,https://www.crunchbase.com/organization/rockley-photonics,"Electronics, Information Technology, Semiconductor","Pasadena, California, United States",Rockley Photonics manufactures photonics chips and custom integrated packaged products.,"1,163",$10M to $50M,2013-01-01,year,"Consumer Electronics, Hardware, Information Technology, Science and Engineering",1,101-250,4,92000000,USD,92000000,5,Private,,,1,4,,2020-03-12,,,,Venture - Series Unknown,,,
Soylent,https://www.crunchbase.com/organization/soylent-corporation,"E-Commerce, Food and Beverage, Food Processing, Health Care, Nutrition","Los Angeles, California, United States",Soylent is a food supplement that can be personalized for different body types and customized based on the individual's taste.,"1,233",$10M to $50M,2012-01-01,year,"Commerce and Shopping, Food and Beverage, Health Care",4,11-50,5,72420000,USD,72420000,9,Private,,,2,2,Early Stage Venture,2017-05-04,50000000,USD,50000000,Series B,0,19,
REX,https://www.crunchbase.com/organization/rex-real-estate-exchange,"Commercial Real Estate, Real Estate, Real Estate Investment","Woodland Hills, California, United States","REX is a digital platform and real estate service where homeowners can list, discover, and purchase homes outside the MLS.","1,268",$1M to $10M,2014-09-01,month,"Financial Services, Real Estate",3,51-100,5,110500000,USD,110500000,6,Private,,,,,Late Stage Venture,2019-11-20,40000000,USD,40000000,Series C,0,9,
Pluto TV,https://www.crunchbase.com/organization/pluto-tv,"Apps, Internet, Media and Entertainment, Video, Video Streaming","Los Angeles, California, United States",Pluto TV is the leading free streaming television service in America.,"1,270",$100M to $500M,2013-01-01,year,"Apps, Content and Publishing, Internet Services, Media and Entertainment, Software, Video",2,101-250,6,51800000,USD,51800000,17,Private,,"Made Acquisitions, Was Acquired",,4,M&A,2017-10-17,8300000,USD,8300000,Venture - Series Unknown,12,3,
Cooking.com,https://www.crunchbase.com/organization/cooking-com,"Cooking, E-Commerce, Internet","Marina Del Rey, California, United States",Cooking.com is an online store for kitchen products and offers a collection of recipes and community features.,"1,330",,1998-03-01,day,"Commerce and Shopping, Food and Beverage, Internet Services",1,101-250,7,107500000,USD,107500000,16,Private,,Was Acquired,,5,M&A,2011-12-06,13500000,USD,13500000,Venture - Series Unknown,,,
Boulevard,https://www.crunchbase.com/organization/boulevard-3,"Customer Service, E-Commerce, Internet, Management Consulting","West Hollywood, California, United States",The business management platform powering the next generation of premium salons and spas.,"1,427",$1M to $10M,2016-02-18,day,"Commerce and Shopping, Internet Services, Professional Services",1,51-100,2,11000000,USD,11000000,5,Private,,,,2,Early Stage Venture,2019-11-04,11000000,USD,11000000,Series A,0,1,
Penske Media Corporation,https://www.crunchbase.com/organization/penske-media-corporation,"Advertising, Broadcasting, Digital Media, Journalism, News, Publishing","Los Angeles, California, United States",PMC is a Leading Digital Media and Publishing Company,"1,432",$10M to $50M,2003-01-01,year,"Advertising, Content and Publishing, Media and Entertainment, Sales and Marketing, Video",1,501-1000,1,200000000,USD,200000000,,Private,,Made Acquisitions,,,,2018-02-28,200000000,USD,200000000,Corporate Round,0,68,
Pray.com,https://www.crunchbase.com/organization/pray,"Communities, Private Social Networking, Religion","Santa Monica, California, United States",Pray.com is a social network for faith organizations and non-profits.,"1,442",$1M to $10M,2016-01-01,year,Community and Lifestyle,4,11-50,2,16000000,USD,16000000,7,Private,,,,2,Early Stage Venture,2018-03-14,14000000,USD,14000000,Series A,0,1,
Embrace,https://www.crunchbase.com/organization/embrace-io,"Developer Tools, Enterprise Software, Mobile Apps","Culver City, California, United States",Embrace is the only monitoring and debugging platform built exclusively for mobile apps,"1,454",$1M to $10M,2016-01-01,year,"Apps, Mobile, Software",3,11-50,8,7650000,USD,7650000,35,Private,,,,3,Seed,2020-03-01,,,,Seed,4,1,
Beachbody,https://www.crunchbase.com/organization/beachbody,"Fitness, Health Care, Wellness","Santa Monica, California, United States",Beachbody has developed and offering an in-home fitness and weight loss solutions.,"1,470",$100M to $500M,1998-01-01,year,"Health Care, Sports",2,501-1000,1,8500000,USD,8500000,,Private,,Made Acquisitions,,,,2019-07-29,8500000,USD,8500000,Venture - Series Unknown,6,491,
Whisper,https://www.crunchbase.com/organization/whisper,"Media and Entertainment, Mobile","Venice, California, United States","Whisper is an AI powered media company. Each month, over 250 million people across the web consume Whisper content.","1,494",$1M to $10M,2012-01-01,year,"Media and Entertainment, Mobile",2,51-100,5,61000000,USD,61000000,17,Private,,Was Acquired,1,3,M&A,2014-06-09,,,,Secondary Market,0,1,
Reformation,https://www.crunchbase.com/organization/reformation,"E-Commerce, Fashion, Manufacturing","Los Angeles, California, United States","Reformation is a revolution in fashion where design, value, and sustainability coexist.","1,497",$100M to $500M,2009-01-01,year,"Clothing and Apparel, Commerce and Shopping, Design, Manufacturing",1,101-250,2,37000000,USD,37000000,8,Private,,Was Acquired,,2,M&A,2017-12-14,25000000,USD,25000000,Series B,0,10,
Jam City,https://www.crunchbase.com/organization/jam-city,"Digital Entertainment, Gaming, Mobile, Mobile Apps, Online Games, Social Media","Culver City, California, United States","Jam City is a mobile entertainment company, connecting the world through technology, creativity, and play.","1,515",$100M to $500M,2010-01-01,year,"Apps, Gaming, Internet Services, Media and Entertainment, Mobile, Software",3,251-500,4,302000000,USD,302000000,7,Private,,Made Acquisitions,6,4,,2019-01-16,145000000,USD,145000000,Undisclosed,0,48,
Happy Money,https://www.crunchbase.com/organization/happymoney,"Finance, Financial Services, FinTech, Payments, Personal Finance","Costa Mesa, California, United States",Financial Tools and Services for Human Happiness,"1,568",$10M to $50M,2009-01-01,day,"Financial Services, Payments",2,251-500,6,141561341,USD,141561341,7,Private,,,1,6,Late Stage Venture,2019-09-05,70000000,USD,70000000,Series D,2,30,
Cylance,https://www.crunchbase.com/organization/cylance,"Artificial Intelligence, Consulting, Cyber Security, Enterprise Software, Machine Learning, Network Security, Penetration Testing","Irvine, California, United States",Cylance is a global provider of cybersecurity products and services using A.I. and machine learning to solve security problems.,"1,571",$100M to $500M,2012-07-04,day,"Artificial Intelligence, Data and Analytics, Information Technology, Privacy and Security, Science and Engineering, Software",2,501-1000,5,297000000,USD,297000000,13,Private,,"Made Acquisitions, Was Acquired",48,5,M&A,2018-06-20,120000000,USD,120000000,Series E,79,48,
Signal Sciences,https://www.crunchbase.com/organization/signal-sciences,"Cyber Security, Information Technology, SaaS, Security, Software, Web Apps","Culver City, California, United States",Signal Sciences is a software as a service platform providing security monitoring and defense for your web application.,"1,573",$1M to $10M,2014-03-10,day,"Apps, Information Technology, Privacy and Security, Software",3,101-250,4,61700000,USD,61700000,8,Private,,,38,5,Late Stage Venture,2019-02-05,35000000,USD,35000000,Series C,2,6,
Savage X Fenty,https://www.crunchbase.com/organization/savage-x-fenty,"E-Commerce, Fashion, Retail","El Segundo, California, United States",Savage X Fenty is a lingerie brand company that offers a variety of underwear ranging from everyday basics to more provocative pieces.,"1,583",$100M to $500M,2017-01-01,year,"Clothing and Apparel, Commerce and Shopping, Design",3,,1,70000000,USD,70000000,2,Private,,,,2,,2019-08-27,70000000,USD,70000000,Venture - Series Unknown,,,
PeerStreet,https://www.crunchbase.com/organization/peerstreet,"Crowdfunding, FinTech, Real Estate, Real Estate Investment","El Segundo, California, United States",PeerStreet is a crowdfunding platform that gives investors easy access to high-yielding loans that are collateralized with real estate.,"1,591",,2013-01-01,year,"Financial Services, Real Estate",3,101-250,6,110600000,USD,110600000,19,Private,,,3,4,Late Stage Venture,2019-10-28,60000000,USD,60000000,Series C,0,1,
UpKeep Maintenance Management,https://www.crunchbase.com/organization/upkeep-maintenance-management,"B2B, Internet, Mobile, SaaS, Software","Los Angeles, California, United States",UpKeep provides maintenance management solutions for facility maintenance teams in the United States.,"1,605",$1M to $10M,2014-06-22,day,"Internet Services, Mobile, Software",1,101-250,4,12820000,USD,12820000,16,Private,,,1,2,Early Stage Venture,2018-03-20,10000000,USD,10000000,Series A,0,4,
Miso Robotics,https://www.crunchbase.com/organization/miso-robotics,"Artificial Intelligence, Consumer Electronics, Food and Beverage, Industrial Automation, Robotics, Smart Home","Pasadena, California, United States",Miso Robotics develops and manufactures artificial intelligence-driven robots that assist chefs to make food at restaurants.,"1,661",$1M to $10M,2016-07-01,month,"Artificial Intelligence, Consumer Electronics, Data and Analytics, Food and Beverage, Hardware, Manufacturing, Real Estate, Science and Engineering, Software",3,1-10,2,13100000,USD,13100000,2,Private,,,,,Early Stage Venture,2018-02-15,10000000,USD,10000000,Series B,6,7,
Soothe,https://www.crunchbase.com/organization/soothe,"Health Care, Personal Health, Therapeutics, Wellness","West Hollywood, California, United States",Soothe is the world's leading on-demand wellness platform.,"1,672",$1M to $10M,2013-03-01,day,Health Care,2,51-100,5,78300000,USD,78300000,12,Private,,Made Acquisitions,,2,Late Stage Venture,2018-05-02,31000000,USD,31000000,Series C,0,6,
FabFitFun,https://www.crunchbase.com/organization/fabfitfun,"E-Commerce, Fashion, Subscription Service, Wellness","Los Angeles, California, United States",FabFitFun offers subscription services that allow its members to discover brands and products.,"1,673",$100M to $500M,2010-01-01,year,"Clothing and Apparel, Commerce and Shopping, Design, Health Care",4,51-100,2,83500000,USD,83500000,19,Private,,Was Acquired,,2,M&A,2019-01-30,80000000,USD,80000000,Series A,0,37,
GoodRx,https://www.crunchbase.com/organization/goodrx,"Health Care, Medical, Pharmaceutical","Santa Monica, California, United States",GoodRx believes prescription drugs should be affordable and convenient for everyone.,"1,679",$1M to $10M,2011-01-01,year,Health Care,3,101-250,3,1500000,USD,1500000,10,Private,,Made Acquisitions,1,1,Private Equity,2018-08-06,,,,Private Equity,4,9,
PatientPop,https://www.crunchbase.com/organization/patientpop,"Digital Marketing, Health Care, Internet, SaaS","Santa Monica, California, United States",PatientPop is the only complete practice growth solution that empowers healthcare providers to thrive in the digital age.,"1,794",$1M to $10M,2014-01-01,year,"Health Care, Internet Services, Sales and Marketing, Software",2,251-500,4,75000000,USD,75000000,4,Private,,,,3,Early Stage Venture,2018-10-31,25000000,USD,25000000,Series B,0,2,
Ritual,https://www.crunchbase.com/organization/ritual-2,"Consumer Goods, E-Commerce, Health Care, Medical, Subscription Service, Wellness","Culver City, California, United States",Ritual is a health and technology company that has reinvented the vitamin for a healthier future.,"1,800",$1M to $10M,2015-06-01,month,"Commerce and Shopping, Consumer Goods, Health Care",1,11-50,5,40500000,USD,40500000,15,Private,,,2,3,Early Stage Venture,2019-02-05,25000000,USD,25000000,Series B,1,9,
Viking Cruises,https://www.crunchbase.com/organization/viking-cruises,"Leisure, Travel","Woodland Hills, California, United States",Viking Cruises is a provider of worldwide river and ocean cruises.,"1,859",$50M to $100M,1997-01-01,year,"Community and Lifestyle, Travel and Tourism",1,1001-5000,1,500000000,USD,500000000,2,Private,,,,2,Private Equity,2016-09-12,500000000,USD,500000000,Private Equity,,,
The Boring Company,https://www.crunchbase.com/organization/the-boring-company,"Infrastructure, Logistics, Public Transportation, Transportation","Los Angeles, California, United States",The Boring Company aims to dig tunnels efficiently to facilitate an underground transportation network.,"1,871",,2016-12-17,day,Transportation,1,51-100,2,233000000,USD,233000000,6,Private,,,,,,2019-07-25,120000000,USD,120000000,Venture - Series Unknown,0,6,
Tala,https://www.crunchbase.com/organization/inventure,"Big Data, Credit, Financial Services, Information Technology, Mobile, Software","Santa Monica, California, United States",Tala is a mobile technology and data science company that is oriented around financial services in emerging markets.,"1,876",$50M to $100M,2011-10-01,day,"Data and Analytics, Financial Services, Information Technology, Lending and Investments, Mobile, Software",1,501-1000,9,204439706,USD,204439706,23,Private,,,2,5,Late Stage Venture,2019-08-21,110000000,USD,110000000,Series D,,,
Welcome Technologies,https://www.crunchbase.com/organization/welcometechnologies,"Education, Financial Services, FinTech, Health Care, Market Research, Marketing, Social Entrepreneurship","Los Angeles, California, United States","We build technology that's powering immigrant success with services across Finance, Education, Healthcare and more.","1,899",Less than $1M,2002-01-01,year,"Community and Lifestyle, Data and Analytics, Design, Education, Financial Services, Health Care, Sales and Marketing",2,11-50,4,8000000,USD,8000000,6,Private,,,,1,Early Stage Venture,2020-03-03,8000000,USD,8000000,Series A,,,
DreamWorks Animation,https://www.crunchbase.com/organization/dreamworks-animation,"Animation, Film, Media and Entertainment","Glendale, California, United States","DreamWorks Animation SKG, Inc. engages in the development, production, and exploitation of animated films and associated characters","1,917",$500M to $1B,1994-10-12,day,"Media and Entertainment, Video",,1001-5000,1,15000000,USD,15000000,1,Delisted,2004-10-28,"Made Acquisitions, Was Acquired",1,,M&A,2015-02-12,15000000,USD,15000000,Venture - Series Unknown,115,543,
Trace,https://www.crunchbase.com/organization/trace-3,"Quantified Self, Sensor, Sports","Huntington Beach, California, United States",Trace is the Action Sports Tracker.,"2,004",$1M to $10M,2004-01-01,year,"Biotechnology, Data and Analytics, Hardware, Sports",2,11-50,5,6000000,USD,6000000,6,Private,,,,1,Early Stage Venture,2017-10-20,6000000,USD,6000000,Series A,,,
Mavenlink,https://www.crunchbase.com/organization/mavenlink,"Business Intelligence, Collaboration, Enterprise Software, Professional Services, Project Management, SaaS, Software","Irvine, California, United States",Mavenlink is a transformative SaaS platform for the modern professional services organization. ,"2,005",Less than $1M,2008-09-01,day,"Data and Analytics, Software",3,251-500,5,111464000,USD,111464000,3,Private,,,7,2,Late Stage Venture,2019-04-11,48000000,USD,48000000,Series E,1,1,
Virgin Orbit,https://www.crunchbase.com/organization/virgin-orbit,"Aerospace, Satellite Communication, Space Travel","Long Beach, California, United States",Virgin Orbit focuses on dedicated launches of small satellites.,"2,006",Less than $1M,2017-03-01,month,"Hardware, Science and Engineering, Transportation",1,,1,9500000,USD,9500000,1,Private,,,2,1,,2019-11-06,9500000,USD,9500000,Grant,0,13,
AuditBoard,https://www.crunchbase.com/organization/soxhub,"Computer, Information Technology, SaaS, Software","Cerritos, California, United States",AuditBoard operates as a SOX compliance and audit software company.,"2,026",$1M to $10M,2014-01-01,year,"Consumer Electronics, Hardware, Information Technology, Software",2,101-250,3,43610000,USD,43610000,3,Private,,,,2,Early Stage Venture,2018-08-15,40000000,USD,40000000,Series B,0,4,
Service,https://www.crunchbase.com/organization/service-2,"Customer Service, Mobile, Software, Travel","Los Angeles, California, United States",Service gets you paid when your flight is delayed or cancelled.,"2,058",Less than $1M,2015-06-01,month,"Mobile, Software, Travel and Tourism",1,,5,5140000,USD,5140000,12,Private,,Made Acquisitions,1,1,Seed,2019-06-04,,,,Convertible Note,0,3,
Goop,https://www.crunchbase.com/organization/goop,"E-Commerce, Fashion, Health Care, Shopping, Travel, Wellness","Los Angeles, California, United States",Goop is a lifestyle brand providing digital content and commerce.,"2,063",$10M to $50M,2008-01-01,year,"Clothing and Apparel, Commerce and Shopping, Design, Health Care, Travel and Tourism",1,101-250,3,75000000,USD,75000000,7,Private,,,3,3,Late Stage Venture,2018-03-28,50000000,USD,50000000,Series C,0,32,
ChowNow,https://www.crunchbase.com/organization/chownow,"Apps, Delivery Service, E-Commerce, Hospitality, Internet, Local, Mobile Apps, Restaurants","Playa Vista, California, United States",ChowNow powers branded online ordering systems for independent restaurants through the restaurants’ own websites.,"2,083",$1M to $10M,2010-01-01,year,"Apps, Commerce and Shopping, Food and Beverage, Internet Services, Mobile, Software, Transportation, Travel and Tourism",2,51-100,9,64036900,USD,64036900,13,Private,,,4,3,Late Stage Venture,2019-05-08,21000000,USD,21000000,Series C,0,4,
FloQast,https://www.crunchbase.com/organization/floqast,"Accounting, B2B, Enterprise Software, SaaS, Software","Sherman Oaks, California, United States",FloQast is close management software built by accountants for accountants so they can close faster and more accurately.,"2,093",$1M to $10M,2013-01-01,year,"Financial Services, Professional Services, Software",2,101-250,7,119866665,USD,119866665,7,Private,,,5,5,Late Stage Venture,2020-01-21,40000000,USD,40000000,Series C,0,6,
Deep 6 AI,https://www.crunchbase.com/organization/deep-6-ai,"Analytics, Artificial Intelligence, Clinical Trials, Health Care, Machine Learning, Pharmaceutical, Software","Pasadena, California, United States",Deep 6 AI is an AI-based platform that finds patients for clinical trials and it helps to provide cure to people.,"2,106",$1M to $10M,2015-01-01,year,"Artificial Intelligence, Data and Analytics, Health Care, Science and Engineering, Software",2,11-50,2,17000000,USD,17000000,4,Private,,,3,1,Early Stage Venture,2019-11-25,17000000,USD,17000000,Series A,,,
