Organization/Person Name,Organization/Person Name URL,Location,Industries,CB Rank (Company),Description,Estimated Revenue Range,Founded Date,Founded Date Precision,Industry Groups,Number of Founders,Number of Employees,Number of Funding Rounds,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD),Number of Investors,IPO Status,IPO Date,Acquisition Status,Number of Events,Number of Lead Investors,Funding Status,Last Funding Date,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount Currency (in USD),Last Funding Type,IPqwery - Patents,IPqwery - Trademarks
CBRE Group,https://www.crunchbase.com/organization/cbre-group,"Los Angeles, California, United States","Consulting, Industrial, Intellectual Property, Project Management, Real Estate",730,"CBRE Group, Inc. is a holding company that conducts all of its operations through its indirect subsidiaries",$1B to $10B,1906-08-27,day,"Professional Services, Real Estate",,10001+,2,450000000,USD,450000000,1,Public,2004-06-11,Made Acquisitions,55,1,IPO,2019-11-18,300000000,USD,300000000,Post-IPO Debt,1,73
BlackLine,https://www.crunchbase.com/organization/blackline,"Woodland Hills, California, United States","Enterprise Software, SaaS, Software, Task Management",737,BlackLine offers scalable applications that automate the financial close and other accounting processes.,$50M to $100M,2001-01-01,year,Software,1,501-1000,1,220000000,USD,220000000,3,Public,2016-10-27,Made Acquisitions,12,,IPO,2013-08-16,220000000,USD,220000000,Private Equity,1,19
Albert,https://www.crunchbase.com/organization/albert-3,"Los Angeles, California, United States","Finance, Financial Services, Internet, Mobile, Software",740,Albert manages your money with automated software and human financial guidance.,$1M to $10M,2015-11-01,day,"Financial Services, Internet Services, Mobile, Software",2,51-100,6,72875000,USD,72875000,13,Private,,,1,5,Early Stage Venture,2019-12-06,50000000,USD,50000000,Series B,0,2
GumGum,https://www.crunchbase.com/organization/gumgum,"Santa Monica, California, United States","Advertising, Advertising Platforms, Analytics, Artificial Intelligence, Brand Marketing, Computer Vision, Digital Media, Image Recognition, Natural Language Processing, Sports",752,GumGum is an artificial intelligence company focusing on computer vision and natural language processing.,$1M to $10M,2008-01-01,year,"Advertising, Artificial Intelligence, Data and Analytics, Hardware, Media and Entertainment, Sales and Marketing, Science and Engineering, Software, Sports",2,251-500,6,58825000,USD,58825000,7,Private,,,13,5,Late Stage Venture,2020-02-13,22000000,USD,22000000,Series D,18,8
SHIFT,https://www.crunchbase.com/organization/shift,"Santa Monica, California, United States","Advertising, Advertising Platforms, Apps, Real Time, Social Media",757,SHIFT is a leading cross-network social advertising platform for brands and agencies.,,2010-01-01,year,"Advertising, Apps, Internet Services, Media and Entertainment, Sales and Marketing, Software",2,51-100,5,14000000,USD,14000000,26,Private,,Was Acquired,,5,M&A,2013-12-10,6000000,USD,6000000,Series B,6,3
Masimo,https://www.crunchbase.com/organization/masimo,"Irvine, California, United States","Biotechnology, Health Care, Manufacturing, Medical Device",799,"Masimo Corporation, a medical technology company, develops, manufactures, and markets noninvasive patient monitoring products.",$100M to $500M,1989-01-01,year,"Biotechnology, Health Care, Manufacturing, Science and Engineering",1,1001-5000,3,4950000,USD,4950000,3,Public,2007-08-08,Made Acquisitions,,2,IPO,2017-08-26,,,,Post-IPO Equity,443,220
The Trade Desk,https://www.crunchbase.com/organization/the-trade-desk,"Ventura, California, United States","Digital Media, Internet, Social, Video Advertising",829,The Trade Desk is an online demand-side platform that provides buying tools for digital media buyers.,$100M to $500M,2009-10-01,day,"Advertising, Internet Services, Media and Entertainment, Sales and Marketing",2,501-1000,7,257500000,USD,257500000,18,Public,2016-09-21,Made Acquisitions,18,5,IPO,2016-05-09,125000000,USD,125000000,Debt Financing,1,17
Flowspace,https://www.crunchbase.com/organization/flowspace,"Los Angeles, California, United States","Logistics, Supply Chain Management, Warehousing",859,Flowspace is the Largest On-Demand Warehousing and Fulfillment Network,Less than $1M,2017-01-01,year,Transportation,2,51-100,4,15520000,USD,15520000,6,Private,,,1,2,Early Stage Venture,2019-04-16,12000000,USD,12000000,Series A,0,1
OPSkins,https://www.crunchbase.com/organization/opskins,"Santa Monica, California, United States","E-Commerce, Gaming, Internet",900,"OPSkins Marketplace is an online trading platform, where gamers around the world buy and sell digital items using real-life money.",$1M to $10M,2015-01-01,year,"Commerce and Shopping, Gaming, Internet Services",3,11-50,1,41000000,USD,41000000,,Private,,,,,,2017-11-13,41000000,USD,41000000,Initial Coin Offering,,
CloudKitchens,https://www.crunchbase.com/organization/cloudkitchens,"Los Angeles, California, United States","Delivery Service, Real Estate, Restaurants, Software",931,CloudKitchens is a real estate company that provides smart kitchens for delivery-only restaurants.,,2016-01-01,year,"Food and Beverage, Real Estate, Software, Transportation",1,1-10,1,400000000,USD,400000000,1,Private,,Made Acquisitions,,1,,2019-11-07,400000000,USD,400000000,Venture - Series Unknown,,
Rockley Photonics,https://www.crunchbase.com/organization/rockley-photonics,"Pasadena, California, United States","Electronics, Information Technology, Semiconductor",934,Rockley Photonics manufactures photonics chips and custom integrated packaged products.,$10M to $50M,2013-01-01,year,"Consumer Electronics, Hardware, Information Technology, Science and Engineering",1,101-250,4,92000000,USD,92000000,5,Private,,,1,4,,2020-03-12,,,,Venture - Series Unknown,,
StackCommerce,https://www.crunchbase.com/organization/stackcommerce,"Venice, California, United States","Apps, E-Commerce, E-Commerce Platforms, Software",991,"StackCommerce is a native commerce platform with turnkey solutions that increases user engagement, growth, and monetization.",,2011-01-01,year,"Apps, Commerce and Shopping, Internet Services, Software",1,51-100,2,800000,USD,800000,7,Private,,Made Acquisitions,1,1,Seed,2012-07-24,800000,USD,800000,Seed,1,9
Musical.ly,https://www.crunchbase.com/organization/musical-ly,"Santa Monica, California, United States","Internet, Music, Video","1,017","Musical.ly is a video social network for creating, sharing, and discovering short videos.",,2014-01-01,year,"Internet Services, Media and Entertainment, Music and Audio, Video",2,101-250,5,150350000,USD,150350000,14,Private,,Was Acquired,2,4,M&A,2016-05-13,133500000,USD,133500000,Series C,4,1
Soylent,https://www.crunchbase.com/organization/soylent-corporation,"Los Angeles, California, United States","E-Commerce, Food and Beverage, Food Processing, Health Care, Nutrition","1,058",Soylent is a food supplement that can be personalized for different body types and customized based on the individual's taste.,$10M to $50M,2012-01-01,year,"Commerce and Shopping, Food and Beverage, Health Care",4,11-50,5,72420000,USD,72420000,9,Private,,,2,2,Early Stage Venture,2017-05-04,50000000,USD,50000000,Series B,0,19
J2 Global,https://www.crunchbase.com/organization/j2-global-communications,"Los Angeles, California, United States","Cloud Computing, Digital Media, Internet","1,063",J2 Global is a leading Internet information and services company consisting of a portfolio of brands.,$100M to $500M,1995-01-01,year,"Internet Services, Media and Entertainment, Software",2,1001-5000,1,650000000,USD,650000000,,Public,1999-07-23,Made Acquisitions,,,IPO,2017-06-28,650000000,USD,650000000,Post-IPO Debt,3,276
Penske Media Corporation,https://www.crunchbase.com/organization/penske-media-corporation,"Los Angeles, California, United States","Advertising, Broadcasting, Digital Media, Journalism, News, Publishing","1,064",PMC is a Leading Digital Media and Publishing Company,$10M to $50M,2003-01-01,year,"Advertising, Content and Publishing, Media and Entertainment, Sales and Marketing, Video",1,501-1000,1,200000000,USD,200000000,,Private,,Made Acquisitions,,,,2018-02-28,200000000,USD,200000000,Corporate Round,0,68
Honey,https://www.crunchbase.com/organization/honey-science,"Los Angeles, California, United States","Coupons, E-Commerce, Retail, Shopping","1,102",Honey helps people make smarter choices when they shop online.,$10M to $50M,2012-10-01,day,Commerce and Shopping,2,251-500,4,31800000,USD,31800000,12,Private,,Was Acquired,2,2,M&A,2017-10-24,26000000,USD,26000000,Series B,3,25
ServiceTitan,https://www.crunchbase.com/organization/servicetitan,"Glendale, California, United States","CRM, Home Services, Information Technology, Real Estate, SaaS, Software","1,116",ServiceTitan is the service management software that helps leading home services businesses generate more leads and close more sales.,$50M to $100M,2013-01-01,year,"Information Technology, Real Estate, Sales and Marketing, Software",2,501-1000,5,325955000,USD,325955000,9,Private,,Made Acquisitions,1,4,Late Stage Venture,2018-11-14,165000000,USD,165000000,Series D,0,9
Talespin,https://www.crunchbase.com/organization/talespin-company,"Culver City, California, United States","Artificial Intelligence, Augmented Reality, Corporate Training, Enterprise Software, Software, Training, Virtual Reality","1,129","Talespin creates enterprise XR (virtual, augmented, and mixed reality) workforce transformation solutions.",$1M to $10M,2015-01-01,year,"Artificial Intelligence, Data and Analytics, Education, Hardware, Science and Engineering, Software",2,51-100,3,20595000,USD,20595000,3,Private,,Made Acquisitions,1,1,Early Stage Venture,2020-03-03,15000000,USD,15000000,Series B,0,1
Pluto TV,https://www.crunchbase.com/organization/pluto-tv,"Los Angeles, California, United States","Apps, Internet, Media and Entertainment, Video, Video Streaming","1,132",Pluto TV is the leading free streaming television service in America.,$100M to $500M,2013-01-01,year,"Apps, Content and Publishing, Internet Services, Media and Entertainment, Software, Video",2,101-250,6,51800000,USD,51800000,17,Private,,"Made Acquisitions, Was Acquired",,4,M&A,2017-10-17,8300000,USD,8300000,Venture - Series Unknown,12,3
Embrace,https://www.crunchbase.com/organization/embrace-io,"Culver City, California, United States","Developer Tools, Enterprise Software, Mobile Apps","1,157",Embrace is the only monitoring and debugging platform built exclusively for mobile apps,$1M to $10M,2016-01-01,year,"Apps, Mobile, Software",3,11-50,8,7650000,USD,7650000,35,Private,,,,3,Seed,2020-03-01,,,,Seed,4,1
REX,https://www.crunchbase.com/organization/rex-real-estate-exchange,"Woodland Hills, California, United States","Commercial Real Estate, Real Estate, Real Estate Investment","1,173","REX is a digital platform and real estate service where homeowners can list, discover, and purchase homes outside the MLS.",$1M to $10M,2014-09-01,month,"Financial Services, Real Estate",3,51-100,5,110500000,USD,110500000,6,Private,,,,,Late Stage Venture,2019-11-20,40000000,USD,40000000,Series C,0,9
Cooking.com,https://www.crunchbase.com/organization/cooking-com,"Marina Del Rey, California, United States","Cooking, E-Commerce, Internet","1,182",Cooking.com is an online store for kitchen products and offers a collection of recipes and community features.,,1998-03-01,day,"Commerce and Shopping, Food and Beverage, Internet Services",1,101-250,7,107500000,USD,107500000,16,Private,,Was Acquired,,5,M&A,2011-12-06,13500000,USD,13500000,Venture - Series Unknown,,
Signal Sciences,https://www.crunchbase.com/organization/signal-sciences,"Culver City, California, United States","Cyber Security, Information Technology, SaaS, Security, Software, Web Apps","1,258",Signal Sciences is a software as a service platform providing security monitoring and defense for your web application.,$1M to $10M,2014-03-10,day,"Apps, Information Technology, Privacy and Security, Software",3,101-250,4,61700000,USD,61700000,8,Private,,,38,5,Late Stage Venture,2019-02-05,35000000,USD,35000000,Series C,2,6
Pray.com,https://www.crunchbase.com/organization/pray,"Santa Monica, California, United States","Communities, Private Social Networking, Religion","1,341",Pray.com is a social network for faith organizations and non-profits.,$1M to $10M,2016-01-01,year,Community and Lifestyle,4,11-50,2,16000000,USD,16000000,7,Private,,,,2,Early Stage Venture,2018-03-14,14000000,USD,14000000,Series A,0,1
Savage X Fenty,https://www.crunchbase.com/organization/savage-x-fenty,"El Segundo, California, United States","E-Commerce, Fashion, Retail","1,359",Savage X Fenty is a lingerie brand company that offers a variety of underwear ranging from everyday basics to more provocative pieces.,$100M to $500M,2017-01-01,year,"Clothing and Apparel, Commerce and Shopping, Design",3,,1,70000000,USD,70000000,2,Private,,,,2,,2019-08-27,70000000,USD,70000000,Venture - Series Unknown,,
Jam City,https://www.crunchbase.com/organization/jam-city,"Culver City, California, United States","Digital Entertainment, Gaming, Mobile, Mobile Apps, Online Games, Social Media","1,363","Jam City is a mobile entertainment company, connecting the world through technology, creativity, and play.",$100M to $500M,2010-01-01,year,"Apps, Gaming, Internet Services, Media and Entertainment, Mobile, Software",3,251-500,4,302000000,USD,302000000,7,Private,,Made Acquisitions,6,4,,2019-01-16,145000000,USD,145000000,Undisclosed,0,48
Happy Money,https://www.crunchbase.com/organization/happymoney,"Costa Mesa, California, United States","Finance, Financial Services, FinTech, Payments, Personal Finance","1,371",Financial Tools and Services for Human Happiness,$10M to $50M,2009-01-01,day,"Financial Services, Payments",2,251-500,6,141561341,USD,141561341,7,Private,,,1,6,Late Stage Venture,2019-09-05,70000000,USD,70000000,Series D,2,30
UpKeep Maintenance Management,https://www.crunchbase.com/organization/upkeep-maintenance-management,"Los Angeles, California, United States","B2B, Internet, Mobile, SaaS, Software","1,451",UpKeep provides maintenance management solutions for facility maintenance teams in the United States.,$1M to $10M,2014-06-22,day,"Internet Services, Mobile, Software",1,101-250,4,12820000,USD,12820000,16,Private,,,1,2,Early Stage Venture,2018-03-20,10000000,USD,10000000,Series A,0,4
Cylance,https://www.crunchbase.com/organization/cylance,"Irvine, California, United States","Artificial Intelligence, Consulting, Cyber Security, Enterprise Software, Machine Learning, Network Security, Penetration Testing","1,458",Cylance is a global provider of cybersecurity products and services using A.I. and machine learning to solve security problems.,$100M to $500M,2012-07-04,day,"Artificial Intelligence, Data and Analytics, Information Technology, Privacy and Security, Science and Engineering, Software",2,501-1000,5,297000000,USD,297000000,13,Private,,"Made Acquisitions, Was Acquired",48,5,M&A,2018-06-20,120000000,USD,120000000,Series E,79,48
PeerStreet,https://www.crunchbase.com/organization/peerstreet,"El Segundo, California, United States","Crowdfunding, FinTech, Real Estate, Real Estate Investment","1,464",PeerStreet is a crowdfunding platform that gives investors easy access to high-yielding loans that are collateralized with real estate.,,2013-01-01,year,"Financial Services, Real Estate",3,101-250,6,110600000,USD,110600000,18,Private,,,3,4,Late Stage Venture,2019-10-28,60000000,USD,60000000,Series C,0,1
Welcome Technologies,https://www.crunchbase.com/organization/welcometechnologies,"Los Angeles, California, United States","Education, Financial Services, FinTech, Health Care, Market Research, Marketing, Social Entrepreneurship","1,527","We build technology that's powering immigrant success with services across Finance, Education, Healthcare and more.",Less than $1M,2002-01-01,year,"Community and Lifestyle, Data and Analytics, Design, Education, Financial Services, Health Care, Sales and Marketing",2,11-50,4,8000000,USD,8000000,6,Private,,,,1,Early Stage Venture,2020-03-03,8000000,USD,8000000,Series A,,
Surf Air,https://www.crunchbase.com/organization/surf-air,"Santa Monica, California, United States","Air Transportation, Delivery, Logistics, Supply Chain Management, Transportation, Travel","1,612",Surf Air is a membership airline that offers first-class travel on executive aircraft.,$1M to $10M,2011-11-05,day,"Administrative Services, Transportation, Travel and Tourism",5,51-100,12,107651032,USD,107651032,23,Private,,Made Acquisitions,,4,,2018-09-06,9141645,USD,9141645,Venture - Series Unknown,0,7
Beachbody,https://www.crunchbase.com/organization/beachbody,"Santa Monica, California, United States","Fitness, Health Care, Wellness","1,631",Beachbody has developed and offering an in-home fitness and weight loss solutions.,$100M to $500M,1998-01-01,year,"Health Care, Sports",2,501-1000,1,8500000,USD,8500000,,Private,,Made Acquisitions,,,,2019-07-29,8500000,USD,8500000,Venture - Series Unknown,6,491
AuditBoard,https://www.crunchbase.com/organization/soxhub,"Cerritos, California, United States","Computer, Information Technology, SaaS, Software","1,655",AuditBoard operates as a SOX compliance and audit software company.,$1M to $10M,2014-01-01,year,"Consumer Electronics, Hardware, Information Technology, Software",2,101-250,3,43610000,USD,43610000,3,Private,,,,2,Early Stage Venture,2018-08-15,40000000,USD,40000000,Series B,0,4
The Boring Company,https://www.crunchbase.com/organization/the-boring-company,"Los Angeles, California, United States","Infrastructure, Logistics, Public Transportation, Transportation","1,685",The Boring Company aims to dig tunnels efficiently to facilitate an underground transportation network.,,2016-12-17,day,Transportation,1,51-100,2,233000000,USD,233000000,6,Private,,,,,,2019-07-25,120000000,USD,120000000,Venture - Series Unknown,0,6
FabFitFun,https://www.crunchbase.com/organization/fabfitfun,"Los Angeles, California, United States","E-Commerce, Fashion, Subscription Service, Wellness","1,747",FabFitFun offers subscription services that allow its members to discover brands and products.,$100M to $500M,2010-01-01,year,"Clothing and Apparel, Commerce and Shopping, Design, Health Care",4,51-100,2,83500000,USD,83500000,19,Private,,Was Acquired,,2,M&A,2019-01-30,80000000,USD,80000000,Series A,0,37
Whisper,https://www.crunchbase.com/organization/whisper,"Venice, California, United States","Media and Entertainment, Mobile","1,759","Whisper is an AI powered media company. Each month, over 250 million people across the web consume Whisper content.",$1M to $10M,2012-01-01,year,"Media and Entertainment, Mobile",2,51-100,5,61000000,USD,61000000,17,Private,,Was Acquired,1,3,M&A,2014-06-09,,,,Secondary Market,0,1
Goop,https://www.crunchbase.com/organization/goop,"Los Angeles, California, United States","E-Commerce, Fashion, Health Care, Shopping, Travel, Wellness","1,768",Goop is a lifestyle brand providing digital content and commerce.,$10M to $50M,2008-01-01,year,"Clothing and Apparel, Commerce and Shopping, Design, Health Care, Travel and Tourism",1,101-250,3,75000000,USD,75000000,7,Private,,,3,3,Late Stage Venture,2018-03-28,50000000,USD,50000000,Series C,0,32
GOAT Group,https://www.crunchbase.com/organization/goatapp,"Culver City, California, United States","E-Commerce, Fashion, Marketplace, Mobile, Shoes","1,782",GOAT Group is the world's largest marketplace for authentic sneakers operating GOAT and Flight Club brands.,$1B to $10B,2009-01-01,year,"Clothing and Apparel, Commerce and Shopping, Consumer Goods, Design, Mobile",2,501-1000,6,197600000,USD,197600000,23,Private,,Made Acquisitions,,4,,2019-02-07,100000000,USD,100000000,Corporate Round,0,10
Deep 6 AI,https://www.crunchbase.com/organization/deep-6-ai,"Pasadena, California, United States","Analytics, Artificial Intelligence, Clinical Trials, Health Care, Machine Learning, Pharmaceutical, Software","1,790",Deep 6 AI is an AI-based platform that finds patients for clinical trials and it helps to provide cure to people.,$1M to $10M,2015-01-01,year,"Artificial Intelligence, Data and Analytics, Health Care, Science and Engineering, Software",2,11-50,2,17000000,USD,17000000,4,Private,,,3,1,Early Stage Venture,2019-11-25,17000000,USD,17000000,Series A,,
PatientPop,https://www.crunchbase.com/organization/patientpop,"Santa Monica, California, United States","Digital Marketing, Health Care, Internet, SaaS","1,795",PatientPop is the only complete practice growth solution that empowers healthcare providers to thrive in the digital age.,$1M to $10M,2014-01-01,year,"Health Care, Internet Services, Sales and Marketing, Software",2,251-500,4,75000000,USD,75000000,4,Private,,,,3,Early Stage Venture,2018-10-31,25000000,USD,25000000,Series B,0,2
GoodRx,https://www.crunchbase.com/organization/goodrx,"Santa Monica, California, United States","Health Care, Medical, Pharmaceutical","1,832",GoodRx believes prescription drugs should be affordable and convenient for everyone.,$1M to $10M,2011-01-01,year,Health Care,3,101-250,3,1500000,USD,1500000,10,Private,,Made Acquisitions,1,1,Private Equity,2018-08-06,,,,Private Equity,4,9
Mavenlink,https://www.crunchbase.com/organization/mavenlink,"Irvine, California, United States","Business Intelligence, Collaboration, Enterprise Software, Professional Services, Project Management, SaaS, Software","1,848",Mavenlink is a transformative SaaS platform for the modern professional services organization. ,Less than $1M,2008-09-01,day,"Data and Analytics, Software",3,251-500,5,111464000,USD,111464000,3,Private,,,7,2,Late Stage Venture,2019-04-11,48000000,USD,48000000,Series E,1,1
Drinks,https://www.crunchbase.com/organization/drinks,"Los Angeles, California, United States","B2C, Big Data, Commercial, E-Commerce, Wine And Spirits","1,901","DRINKS is disrupting the way wine is sold by bringing consumers the highest quality wine at the lowest prices, direct to their door",$100M to $500M,2013-09-01,day,"Commerce and Shopping, Data and Analytics, Food and Beverage",4,51-100,3,28250000,USD,28250000,9,Private,,Made Acquisitions,,2,Early Stage Venture,2018-09-07,15000000,USD,15000000,Series B,0,5
ATTN:,https://www.crunchbase.com/organization/attn-,"Los Angeles, California, United States","Digital Media, News, Social Media, Video","1,919",ATTN: is a content network that helps young people understand and impact the world around them.,$1M to $10M,2014-01-01,year,"Content and Publishing, Internet Services, Media and Entertainment, Video",2,51-100,3,37099999,USD,37099999,12,Private,,,1,2,Late Stage Venture,2018-09-24,15000000,USD,15000000,Series C,0,2
Ritual,https://www.crunchbase.com/organization/ritual-2,"Culver City, California, United States","Consumer Goods, E-Commerce, Health Care, Medical, Subscription Service, Wellness","1,929",Ritual is a health and technology company that has reinvented the vitamin for a healthier future.,$1M to $10M,2015-06-01,month,"Commerce and Shopping, Consumer Goods, Health Care",1,11-50,5,40500000,USD,40500000,15,Private,,,2,3,Early Stage Venture,2019-02-05,25000000,USD,25000000,Series B,1,9
Viking Cruises,https://www.crunchbase.com/organization/viking-cruises,"Woodland Hills, California, United States","Leisure, Travel","1,955",Viking Cruises is a provider of worldwide river and ocean cruises.,$50M to $100M,1997-01-01,year,"Community and Lifestyle, Travel and Tourism",1,1001-5000,1,500000000,USD,500000000,2,Private,,,,2,Private Equity,2016-09-12,500000000,USD,500000000,Private Equity,,
Service,https://www.crunchbase.com/organization/service-2,"Los Angeles, California, United States","Customer Service, Mobile, Software, Travel","1,977",Service gets you paid when your flight is delayed or cancelled.,Less than $1M,2015-06-01,month,"Mobile, Software, Travel and Tourism",1,11-50,5,5140000,USD,5140000,12,Private,,Made Acquisitions,1,1,Seed,2019-06-04,,,,Convertible Note,0,3
FloQast,https://www.crunchbase.com/organization/floqast,"Sherman Oaks, California, United States","Accounting, B2B, Enterprise Software, SaaS, Software","1,979",FloQast is close management software built by accountants for accountants so they can close faster and more accurately.,$1M to $10M,2013-01-01,year,"Financial Services, Professional Services, Software",2,101-250,6,92850000,USD,92850000,7,Private,,,5,5,Late Stage Venture,2020-01-21,40000000,USD,40000000,Series C,0,6
AdQuick,https://www.crunchbase.com/organization/adquick,"Los Angeles, California, United States","Advertising, Advertising Platforms, E-Commerce, Marketing","1,995",AdQuick is a marketplace to buy and sell outdoor advertising.,$1M to $10M,2016-01-01,year,"Advertising, Commerce and Shopping, Sales and Marketing",3,11-50,3,9200000,USD,9200000,10,Private,,,,2,Early Stage Venture,2020-02-13,6000000,USD,6000000,Series A,,
Conversion Logic,https://www.crunchbase.com/organization/conversion-logic,"Los Angeles, California, United States","Analytics, SaaS, Software","2,007",Machine learning + cloud analytics for Enterprise B2C Marketers - the most intuitive cross-channel measurement and attribution platform.,,2014-01-01,month,"Data and Analytics, Software",3,11-50,4,14100000,USD,14100000,14,Private,,Was Acquired,1,2,M&A,2017-03-08,9000000,USD,9000000,Series A,0,2
WONDER,https://www.crunchbase.com/organization/wonder-4,"Venice, California, United States","Consumer, Consumer Electronics, Gaming","2,040",Wonder is currently operating in stealth mode.,Less than $1M,2015-01-01,year,"Consumer Electronics, Gaming, Hardware",1,11-50,2,14000000,USD,14000000,18,Private,,Was Acquired,,2,M&A,2017-06-28,14000000,USD,14000000,Series A,0,1
Tala,https://www.crunchbase.com/organization/inventure,"Santa Monica, California, United States","Big Data, Credit, Financial Services, Information Technology, Mobile, Software","2,048",Tala is a mobile technology and data science company that is oriented around financial services in emerging markets.,$50M to $100M,2011-10-01,day,"Data and Analytics, Financial Services, Information Technology, Lending and Investments, Mobile, Software",1,501-1000,9,204439706,USD,204439706,23,Private,,,2,5,Late Stage Venture,2019-08-21,110000000,USD,110000000,Series D,,
Reformation,https://www.crunchbase.com/organization/reformation,"Los Angeles, California, United States","E-Commerce, Fashion, Manufacturing","2,087","Reformation is a revolution in fashion where design, value, and sustainability coexist.",$100M to $500M,2009-01-01,year,"Clothing and Apparel, Commerce and Shopping, Design, Manufacturing",1,101-250,2,37000000,USD,37000000,8,Private,,Was Acquired,,2,M&A,2017-12-14,25000000,USD,25000000,Series B,0,10
Virgin Orbit,https://www.crunchbase.com/organization/virgin-orbit,"Long Beach, California, United States","Aerospace, Satellite Communication, Space Travel","2,113",Virgin Orbit focuses on dedicated launches of small satellites.,Less than $1M,2017-03-01,month,"Hardware, Science and Engineering, Transportation",1,,1,9500000,USD,9500000,1,Private,,,2,1,,2019-11-06,9500000,USD,9500000,Grant,0,13
EquityBee,https://www.crunchbase.com/organization/equitybee,"Los Angeles, California, United States",Financial Services,"2,142",EquityBee helps startup employees get the money they need to exercise their stock options before they expire by linking them to investors.,$1M to $10M,2017-01-01,year,Financial Services,4,11-50,2,8300000,USD,8300000,9,Private,,,,2,Early Stage Venture,2020-02-11,6600000,USD,6600000,Series A,,
Boulevard,https://www.crunchbase.com/organization/boulevard-3,"West Hollywood, California, United States","Customer Service, E-Commerce, Internet, Management Consulting","2,181",The business management platform powering the next generation of premium salons and spas.,$1M to $10M,2016-02-18,day,"Commerce and Shopping, Internet Services, Professional Services",1,51-100,2,11000000,USD,11000000,5,Private,,,,2,Early Stage Venture,2019-11-04,11000000,USD,11000000,Series A,0,1
