Full Description,Organization Name,Organization Name URL,Industries,Headquarters Location,Description,Number of Funding Rounds,Funding Status,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD),CB Rank (Organization),Estimated Revenue Range,Operating Status,Founded Date,Founded Date Precision,Exit Date,Exit Date Precision,Company Type,Website,Number of Employees,Number of Founders,Industry Groups,Top 5 Investors,Number of Lead Investors,Number of Investors,Number of Acquisitions,Acquisition Status,IPO Status,Number of Events
"True Zero is  Dedicated to creating a network that provides access to safe, reliable, retail hydrogen. Enabling the widespread adoption of electric fuel cell vehicles.. ",True Zero,https://www.crunchbase.com/organization/true-zero,"Environmental Consulting, Fuel, Fuel Cell, Renewable Energy","Irvine, California, United States","True Zero is revolutionizing clean, efficient automotive transportation",1,,26600000,USD,26600000,"19,578",$1M to $10M,Active,2014-01-01,year,,,,http://www.truezero.com/,11-50,2,"Energy, Professional Services, Sustainability",California Energy Commission,1,1,,,Private,
"Alexandria Real Estate Equities, Inc., Landlord of Choice to the Life Science IndustryÂ®, is the largest owner and pre-eminent first-in-class real estate investment trust focused principally on science-driven cluster formation. Alexandria is the leading provider of real estate to the life science industry, and has an outstanding 11 year track record as a NYSE listed company with an approximate $5.2 billion total market capitalization (as of December 31, 2008).",Alexandria Real Estate Equities,https://www.crunchbase.com/organization/alexandria-real-estate-equities,"Asset Management, Commercial Real Estate, Life Science, Real Estate","Pasadena, California, United States","Alexandria Real Estate Equities, Inc., Landlord of Choice to the Life Science Industry, is the largest owner and pre-eminent",1,M&A,220000,USD,220000,"19,584",$100M to $500M,Active,1994-01-01,year,1997-06-06,day,,http://www.are.com/,251-500,1,"Biotechnology, Financial Services, Real Estate, Science and Engineering",,,,,Was Acquired,Public,2
"They are the missing link in clinical trials, connecting patients and researchers seamlessly and conveniently using a mobile health platform to advance medical research. They believe it should be easy for patients to contribute to the advancement of research for medical conditions that matter most to them, regardless of their location or ability to travel by bringing health care professionals to the home. Their proprietary platform seamlessly integrates information from site/sponsor, mobile clinical staff, and patients, increasing efficiency, consistency, and quality for each at-home visit. Their mobile staff covers the US, Canada and Europe. Each staff is trained on specific protocols and carry credentials that are necessary in conducting clinical trial procedures at the patient's home. Through this approach, their goal is to widen patient reach for improved recruitment, decrease patient burden for improved retention, and decrease site-work effort.",Sanguine,https://www.crunchbase.com/organization/sanguine-biosciences,"Biotechnology, Clinical Trials, Health Care","Sherman Oaks, California, United States","We are the missing link in clinical trials, connecting patients & researchers seamlessly using mobile health to advance research from home.",4,,6000000,USD,6000000,"19,603",$1M to $10M,Active,2010-01-01,year,,,For Profit,https://sanguinebio.com,11-50,5,"Biotechnology, Health Care, Science and Engineering","Mayo Clinic, StartUp Health, FundersClub, Seraph Group, iVentures Asia Ltd",1,7,,,Private,
"360VUZ is the pioneer and Virtual Reality Mobile App Teleporting people in time. It captures and delivers live and on-demand virtual reality experiences. The 360VUZ Mobile app Ranked #1 in the Entertainment category on App Store ahead of top players such as Netflix and Shahid. 360VUZ teleports people in live, virtual reality and Video content in amazing quality – supporting in building the ecosystem for live and on-demand Video and VR to become a mainstream experience for sporting events, exclusive happenings, Influencer Appearances, concerts, and more.  Out in the market in 2017, 360VUZ has more than 3 provisional patents and reached over 1 Million Users.",360VUZ,https://www.crunchbase.com/organization/360vuz,"3D Technology, Apps, Augmented Reality, Broadcasting, Media and Entertainment, Mobile Apps, Video, Video on Demand, Video Streaming, Virtual Reality","Los Angeles, California, United States",360VUZ is the pioneer LIVE 360 Mobile App in Teleporting people in time.,4,Seed,1350000,USD,1350000,"19,634",,Active,2017-01-01,day,,,For Profit,http://www.360VUZ.com,11-50,1,"Apps, Content and Publishing, Hardware, Media and Entertainment, Mobile, Software, Video","500 Startups, Plug and Play, Dtec Ventures",,3,,,Private,1
"Aligned Telehealth is a leading national provider of behavioral healthcare, offering Telehealth services as well as facility-based staffing programs. Now in its seventeenth year, Aligned Telehealth is optimizing the delivery of behavioral health to hospitals, long-term care facilities and outpatient clinics. We are one of the few health care organizations with deep experience, focus and expertise in behavioral health services.  Aligned Telehealth works closely with our clients and partners to deliver excellent quality and efficient patient care.",Aligned TeleHealth,https://www.crunchbase.com/organization/aligned-telehealth,"Health Care, Hospital","Woodland Hills, California, United States",Aligned Telehealth is a Telepsychiatry & Behavioral Health Coverage & Solutions Provider,4,M&A,12892262,USD,12892262,"19,654",$1M to $10M,Active,2012-01-01,year,2019-11-07,day,For Profit,http://www.alignedth.com,101-250,2,Health Care,"SV Health Investors, Deepak Chopra, Hector Sulaiman",1,3,,Was Acquired,Private,
SafeRide focuses on providing patients with transportation services to attend their health appointments in time. SafeRide provides healthcare providers with solutions to send text alerts about appointments and track the rides of their patients. SafeRide was founded by Whit Schrader and Robbins Schrader in April 2015.,SafeRide Health,https://www.crunchbase.com/organization/saferide,"Health Care, Transportation","Culver City, California, United States",SafeRide is a platform that allows care providers to book non-emergency medical transport (NEMT) for their patients,3,Early Stage Venture,2750001,USD,2750001,"19,661",,Active,2015-04-01,month,,,,http://www.saferidehealth.com,11-50,3,"Health Care, Transportation","Fresenius Medical Care, Bonfire Ventures, Meridian Street Capital, Amplify.LA, FCA Venture Partners",3,6,,,Private,
"tonebase gives you access to educational content produced by the world's greatest musicians and music educators. By giving everyone access to the world's greatest musical minds, tonebase hopes to democratize music education. https://tonebase.co/",tonebase,https://www.crunchbase.com/organization/tonebase,"Education, Internet, Music","Los Angeles, California, United States",tonebase gives you access to educational content produced by the world's greatest musicians and music educators.,4,Seed,2950000,USD,2950000,"19,726",,Active,2017-05-20,day,,,For Profit,http://tonebase.co,1-10,3,"Education, Internet Services, Media and Entertainment, Music and Audio","Yale University, Venrex Investment Management, Dorm Room Fund, e.ventures, LAUNCH",3,5,,,Private,
"The future of work lies in the hands of an ever-growing community of independent professionals and small businesses who create value each day through their trade. Founded in 2014, tispr's mission is to create a sustainable, reliable and safe ecosystem to instantly connect, collaborate and work. tispr is the mobile services marketplace that brings small businesses, diverse professionals, potential customers and work spaces together in a hyperlocal and instant manner, so you can get projects rolling right from your mobile. tispr is backed by a strong community of talented, independent and skilled professionals, and an incredible team of investors, entrepreneurs, thinkers and creative minds who collaborate and work together to bring a positive change in the lives millions of working professionals.",tispr,https://www.crunchbase.com/organization/buddyhopp,"E-Commerce, Local, Mobile","Los Angeles, California, United States",tispr is a mobile marketplace that enables its users to buy and sell services from freelancers in their local area.,2,,3999857,USD,3999857,"19,758",,Active,2014-07-01,day,,,For Profit,http://tispr.com/,11-50,2,"Commerce and Shopping, Mobile",,,,,,Private,1
"Avanir Pharmaceuticals is a biopharmaceutical company focused on bringing innovative medicines to patients with central nervous system disorders of high unmet medical need. As part of their commitment, they have extensively invested in their pipeline and are dedicated to advancing medicines that can substantially improve the lives of patients and their loved ones.",Avanir Pharmaceuticals,https://www.crunchbase.com/organization/avanir-pharmaceuticals,"Biotechnology, Health Diagnostics, Medical Device","Aliso Viejo, California, United States",Avanir Pharmaceuticals is a biopharmaceutical company focused on providing medicines to patients with central nervous system disorders.,2,M&A,46200000,USD,46200000,"19,777",,Active,1988-01-01,year,2000-04-14,day,For Profit,http://www.avanir.com,101-250,,"Biotechnology, Health Care, Science and Engineering","OrbiMed, Silicon Valley Bank, Oxford Finance LLC, Jennison Associates",,4,,Was Acquired,Delisted,
"Bitium is a Santa Monica-headquartered provider of cloud-based identity and access management solutions, including single sign-on, password management, and analytics for small, medium and enterprise businesses. Founded in 2012, the company aims to give growing companies the ability to manage access to all of their web-based applications -- including Google Apps and Office 365, as well as social networks and CRM, collaboration and marketing tools -- in one place without hindering employee adoption of these applications. Organizations such as GroupM, Fullscreen, Movember and Demand Media use Bitium for an easy-to-use solution that delivers increased flexibility and security.   Bitium is backed by Polaris Partners, Resolute VC, Double M Partners, Karlin Ventures, Social Leverage and a group of strategic investors in the enterprise cloud space.",Bitium,https://www.crunchbase.com/organization/bitium,"Cloud Computing, Cyber Security, Identity Management, SaaS, Security, Software","Santa Monica, California, United States","Bitium is a SaaS-based software operating system providing app management, single sign-on and analytics for cloud-based apps.",4,M&A,14900000,USD,14900000,"19,793",,Active,2012-03-05,day,2017-09-26,day,For Profit,http://bitium.com,11-50,2,"Information Technology, Internet Services, Privacy and Security, Software","Polaris Partners, Moonshots Capital, Amplify.LA, Acequia Capital (Acecap), Resolute Ventures",3,16,,Was Acquired,Private,2
"H2scan Corporation is headquartered in Valencia, California, and was formed September 18, 2002 through an MBO with capital assistance from Vancouver-based Chrysalix Energy Limited Partnership and Ravinia Venture Fund. The company was created upon the purchase of all sensor assets of DCH Sensor Corporation.  Ballard Power Systems Inc., Shell Hydrogen, and Duke Energy formed Chrysalix (www.chrysalix.com) in July 2001. This Partnership has since been joined by The BOC Group, BASF Venture Capital, The Mitsubishi Corporation. The fundamental technology of H2scan sensor systems was developed by the U.S. National Laboratory at Sandia. H2scan has significantly improved upon this technology through US patents and manufacturing trade secrets.",H2scan,https://www.crunchbase.com/organization/h2scan,"Electronics, Manufacturing, Marketing","Valencia, California, United States",H2scan provides analyzers for hydrogen monitoring and leak detection.,9,Late Stage Venture,33204871,USD,33204871,"19,824",$1M to $10M,Active,2002-01-01,year,,,,http://www.h2scan.com,51-100,1,"Consumer Electronics, Hardware, Manufacturing, Sales and Marketing","Tech Coast Angels, Ballard Power Systems, Mitsubishi Corporation, BASF Venture Capital, Altran",2,10,,,Private,
"TeamDom is a modern-day media conglomerate that focuses on building powerful brands, stories, celebrities, and businesses around teen entertainment and media. TeamDom creates content, incubates talent, and provides teens with their favorite forms of entertainment.",TeamDom,https://www.crunchbase.com/organization/teamdom,"Content, Marketing, Media and Entertainment, Social Media","Los Angeles, California, United States","TeamDom is a media conglomerate that builds brands, stories, celebrities, and businesses around teen entertainment and media.",2,Seed,1000000,USD,1000000,"19,890",$1M to $10M,Active,2016-01-01,year,,,For Profit,http://www.teamdom.co/,1-10,1,"Internet Services, Media and Entertainment, Sales and Marketing","Gary Vaynerchuk, DHVC, Wei Guo, Edward Lando, Jared Morgenstern",,7,,,Private,
"We apply modular diagnostic technologies to provide accurate answers at the point-of-use. Fluxergy was started with the goal of creating easily accessible point-of-use laboratory testing, by bringiing the laboratory to people who need it. From healthcare practitioners looking for point-of-care testing to environmental scientist trying to do studies in the field, we are working hard to develop new technologies that will allow these doers the ability to bring advanced point-of-use laboratory testing to their industry",Fluxergy,https://www.crunchbase.com/organization/fluxergy,"Biotechnology, Health Care, Medical","Irvine, California, United States",Fluxergy applies modular diagnostic technologies to provide accurate answers at the point-of-use.,1,,4500000,USD,4500000,"19,897",Less than $1M,Active,2013-01-01,year,,,For Profit,http://www.fluxergy.com,51-100,2,"Biotechnology, Health Care, Science and Engineering",,,,,,Private,
"They're dedicated to making delicious all-natural snacks that are a wholesome and satisfying alternative to snacks made from corn, potato and wheat. Their mission is to make the world a healthier place to crunch. They believe beans are good for their families, good for farmers, and good for their planet!",Beanfields,https://www.crunchbase.com/organization/beanfields,"Food and Beverage, Food Processing, Health Care","Los Angeles, California, United States",Beanfields's mission is to make the world a healthier place to crunch.,3,M&A,7000000,USD,7000000,"19,914",,Active,2010-01-01,year,2017-04-21,day,For Profit,https://www.beanfields.com/,11-50,1,"Food and Beverage, Health Care","Western Technology Investment, PowerPlant Ventures, NRV",1,3,,Was Acquired,Private,1
"OzoneAI is a free consumer platform to sync, secure and sell personal data in just a few clicks — without compromising privacy or anonymity.  Simply sync accounts (FB, Amazon, Google) to see your most valuable data, and earn $100+ per month.  Businesses pay to “subscribe” to your anonymized data and offer additional paid Calls-To-Action. OzoneAI is making consumers CEOs of their own data.",Ozone.AI,https://www.crunchbase.com/organization/ozone-ai,,"Los Angeles, California, United States","Personal Data Privacy — Sync, secure and sell personal data in just a few clicks, without compromising privacy or anonymity.",2,,400000,USD,400000,"19,915",,Active,2019-05-01,month,,,For Profit,http://ozone.ai,1-10,,,"Alumni Ventures Group, LAUNCH",2,2,,,Private,
"Century Housing invests in homes and communities so that low income individuals and families may have a dignified living environment, achieve economic independence, and enjoy healthful and vital places to live and work.",Century Housing,https://www.crunchbase.com/organization/century-housing,"Building Material, Communities, Leisure, Real Estate","Culver City, California, United States","Century Housing invests in homes and communities so that low income individuals and families may have a dignified living environment,",1,,4700000,USD,4700000,"19,978",$10M to $50M,Active,1995-01-01,year,,,,http://www.centuryhousing.org,51-100,,"Community and Lifestyle, Real Estate",Community Development Financial Institutions Fund (CDFI Fund),1,1,,,Private,
"Fame Bit is a YouTube marketing platform that enable brands to collaborate with YouTube influencers and create videos that are shared across the internet. It is a convenient method to find, hire and work with YouTube Influencers and create brand awareness with tutorial videos Fame Bit provides a Platform that connects Brands with YouTube influencers to create original video content that is shared with millions of engaged viewers on YouTube.",FameBit,https://www.crunchbase.com/organization/famebit,"Advertising, Marketing, Social Network","Santa Monica, California, United States",Fame Bit is a YouTube marketing platform where brands collaborate with YouTube influencers and create videos.,2,M&A,1500000,USD,1500000,"19,980",,Active,2013-01-01,year,2016-10-11,day,For Profit,http://famebit.com,11-50,2,"Advertising, Internet Services, Sales and Marketing","500 Startups, Science, DeNA, Third Wave Digital, HIGHLINEvc",,6,1,"Made Acquisitions, Was Acquired",Private,7
"Xfire is the leader in social gaming services for core gamers. In July of 2012, Xfire passed 22 million registered users.  Xfire was founded in 2003 and acquired by Viacom in 2008 for $102 million.  In August 2010 Xfire was spun out of Viacom by a private team of serial entrepreneurs and internet investors, including: Brock Pierce (IGE, Affinity Media), Mark Donovan (Titan Gaming), and William Quigley (Clearstone Venture Capital). The new team brings a wealth of experience, energy and focus that will further solidify Xfire’s leadership in the gaming space.  Xfire has recently released a re-vamped website and new UI/UX on its desktop and in-game client.  Further, it has launched a new competitive gaming service, Battleground into closed beta.  Battleground features 3 modes of competitive gaming; Instant Action (24/7 death match styled play), Challenges (direct wagering between users or clans) and Tournaments (multi-ladder, automated tournament system) supported by a full virtual eco-system of Xcoin (paid currency) and Battle Tokens (earned currency).  Xfire continues to provide users social networking, group VOIP and chat, social sharing of in-game screen shots and videos, and live-streaming gameplay.  To learn more about Xfire and to download the client, please go to www.xfire.com.",Xfire,https://www.crunchbase.com/organization/xfire,"Gaming, PC Games, Video Games","Santa Monica, California, United States","Xfire provides social gaming and networking services, shares in-game screen shots and videos, and live-streams gameplay.",6,M&A,19500000,USD,19500000,"19,988",,Active,2002-01-01,year,2006-04-24,day,For Profit,http://www.xfire.com,11-50,3,Gaming,"New Enterprise Associates, GGV Capital, Threshold, Intel Capital, TomorrowVentures",4,10,,Was Acquired,Private,
"RECESS is the easiest way to sponsor live events. Their online marketplace helps brands and agencies discover, contract, pay and advance with thousands of event organizers, all in one place. They help customers including Google, Brew Dr. Kombucha, Viacom and LIFEAID and reach million of consumers via event marketing at scale.",RECESS,https://www.crunchbase.com/organization/recess,"Ad Network, Advertising, Advertising Platforms, Local Advertising, Marketplace, Media and Entertainment","Venice, California, United States","Recess unlocks the power of event marketing with stress-free, programmatic planning.",4,,3100000,USD,3100000,"20,028",Less than $1M,Active,2016-02-23,day,,,For Profit,http://recess.is,1-10,2,"Advertising, Commerce and Shopping, Media and Entertainment, Sales and Marketing","Tech Coast Angels, Mark Cuban, Founder Equity, Quake Capital Partners",,4,,,Private,
"MD Insider is an innovative healthcare technology company that employs machine learning to provide a Physician Performance Transparency solution, which is fully integrated into a consumer-friendly physician search, match, and scheduling solution that better matches patients with the right doctors.  For more information visit mdinsider.com",MD Insider,https://www.crunchbase.com/organization/md-insider,"Big Data, Health Care, Hospital, Machine Learning, Medical","Santa Monica, California, United States",Machine Learning Enabled Physician Performance Transparency,5,M&A,24300000,USD,24300000,"20,160",,Active,2012-01-01,year,2019-08-01,day,For Profit,https://mdinsider.com,11-50,3,"Artificial Intelligence, Data and Analytics, Health Care, Software","Timothy Ferriss, Summation Health Ventures, Jason Ader, Linden Mobile Ventures, Inncubator Investments",3,6,,Was Acquired,Private,1
Landline enables airlines to offer their customers seamless connections to ground transportation. Customers can book one airline ticket that includes both ground and air travel and have their bag checked to their final destination.,Landline,https://www.crunchbase.com/organization/landline,Transportation,"Santa Monica, California, United States",Landline enables airlines to offer their customers seamless connections to ground transportation.,1,Seed,3850000,USD,3850000,"20,167",,Active,2018-06-01,month,,,For Profit,https://landline.com/,11-50,2,Transportation,"Mucker Capital, Upfront Ventures, Matchstick Ventures, Tusk Ventures",1,4,,,Private,
,Tenzo Tea,https://www.crunchbase.com/organization/tenzo-tea,"Retail, Wholesale","Los Angeles, California, United States",Tenzo Tea - Feel the Healthy Energy. ,1,Seed,250000,USD,250000,"20,171",Less than $1M,Active,2016-07-01,day,,,,http://www.tenzotea.co,11-50,2,Commerce and Shopping,,,,,,Private,
"Anyone Home offers solutions that enable property rental service providers to manage their customers.  By balancing incredibly intuitive CRM software with a highly crafted Contact Center we're combine great people, an efficient process, and reliable technology to drive superior results. Anyone Home offers calls and emails handling services and enables customers of property renters to find information and schedule visits for the properties as well as self-scheduling and access solutions.  Anyone Home was founded in 2013 by Todd Katler. It is headquartered in Lake Forest, California.",Anyone Home,https://www.crunchbase.com/organization/anyone-home,"CRM, Internet of Things, Property Management, Real Estate, Software","Lake Forest, California, United States",Anyone Home is a software and services company focused on engagement in the multi and single-family rental housing market.,5,,10481224,USD,10481224,"20,244",$10M to $50M,Active,2013-01-01,year,,,For Profit,http://anyonehome.com/,251-500,1,"Information Technology, Internet Services, Real Estate, Sales and Marketing, Software",Sopris Capital Associates,1,1,,,Private,
"Terran Orbital are the leading innovators and providers of picosatellites, cubesats, and nanosatellites. They provide cost-effective end-to-end new space aerospace solutions for enterprises, universities, and government agencies. Their business is comprised of three operating groups that create their various lines of business. Research, Development, and Manufacturing (RDM) – They have over ten years’ experience and some of the best minds in the nanosatellite industry. They provide R&D consulting services and manufacturing for many government agencies, such as NASA, DARPA, JPL and military organizations such as the DOD, NRL, and NRO. Launch Services – They bridge Earth to Space for those seeking to launch pico and nanosatellites. Data Network & Subscriber Services – They are building a global constellation of best-in-class nanosatellites that will form an unprecedented data infrastructure in space. They expect their network will match or exceed the bandwidth carrying capacity of existing full-sized data satellites at half the cost to subscribers. They will add functionality, capacity, and software applications to their infrastructure on a continuous basis, leveraging it as a foundation for scalable growth in both their company and the space industry as a whole.",Terran Orbital,https://www.crunchbase.com/organization/terran-orbital,"Aerospace, Machinery Manufacturing, Manufacturing, Satellite Communication","Irvine, California, United States","Terran Orbital are the leading innovators and providers of picosatellites, cubesats, and nanosatellites.",2,Early Stage Venture,43040000,USD,43040000,"20,250",$1M to $10M,Active,2013-01-01,year,,,For Profit,http://terranorbital.com/,101-250,2,"Hardware, Manufacturing, Science and Engineering","Goldman Sachs, Lockheed Martin, Beach Point Capital Management",,3,,,Private,
See all this.,Sixgill,https://www.crunchbase.com/organization/sixgill-2,"Developer Tools, Enterprise, Robotics, Software","Santa Monica, California, United States","Sixgill allows the governance of connected assets—people, places and things —with a sensor data services platform for better IoE deployment.",2,Early Stage Venture,33900000,USD,33900000,"20,313",$1M to $10M,Active,2007-01-01,year,,,For Profit,https://www.sixgill.com/,11-50,,"Hardware, Science and Engineering, Software","VA Angels, Mobile Financial Partners",,2,,,Private,
"Tagnos offers the leading clinical logistics automation solution for hospitals and clinics. Their SaaS platform analyzes data from clinical systems, including EHR, CPOE, LIS, RIS, and ADT systems, along with RTLS tracking devices, to facilitate patient flow through the hospital. The insights produced by their AI algorithms help healthcare organizations optimize their staff and asset utilization to prevent bottlenecks, reduce wait times and improve throughput, while increasing patient and staff satisfaction. ",Tagnos,https://www.crunchbase.com/organization/tagnos,"Health Care, Hospital, Real Time","Irvine, California, United States",Tagnos are a team committed to working with healthcare organizations to simplify the hospital-patient experience.,4,,5500000,USD,5500000,"20,343",,Active,2005-01-01,year,,,,http://tagnos.com/,11-50,1,Health Care,"Singapore Angel Network, Cisco Investments, Benhamou Global Ventures, Morpheus Ventures, EvoNexus",3,6,,,Private,
"CurbStand is a modern payment and specialty services platform for the valet parking industry. It enables its users to find and pay for parking, and businesses and their valet companies to better manage parking operations. It was launched in 2013 in Santa Monica, California, United States.",CurbStand,https://www.crunchbase.com/organization/curbstand,"Automotive, FinTech, Mobile, Mobile Payments, Parking, Public Transportation, Transportation, Travel","West Hollywood, California, United States","Seamless, cashless valet parking in Los Angeles. Pay & tip right from your phone.",5,Seed,5100000,USD,5100000,"20,349",,Active,2013-01-01,year,,,For Profit,http://www.curbstand.com,11-50,4,"Financial Services, Mobile, Payments, Software, Transportation, Travel and Tourism",Michael Jones,,1,1,Made Acquisitions,Private,
"Spero Foods produces and sells substitutes for dairy and eggs from plants. Phaedra Anestassia Randolph founded it in 2016, with its headquarters in Los Angeles in California.",Spero Foods,https://www.crunchbase.com/organization/spero-foods-los-angeles-california,"Food and Beverage, Food Processing, Marketing, Organic, Organic Food","Los Angeles, California, United States",Spero Foods produces and sells substitutes for dairy and eggs from plants.,1,Seed,120000,USD,120000,"20,362",,Active,2016-01-01,year,,,For Profit,https://www.sperofoods.co/,1-10,1,"Food and Beverage, Sales and Marketing, Sustainability","Y Combinator, Soma Capital",,2,,,Private,1
"Headquartered in Newport Beach, Calif., Lantern Credit, LLC is a financial technology company working to solve systemic inefficiencies in the consumer credit market by developing a proprietary platform that integrates and enhances key components of the consumer credit, debt, credit reporting and scoring industries. The Company’s transformative technology, including the Interactive Credit ReportTM, empowers consumers to model the impact of their financial actions on their credit scores, make payments, and accept new credit offers. The Lantern Platform can be licensed by financial institutions, strategic partners, and credit reporting agencies. For more information, visit www.lanterncredit.com.",Lantern Credit,https://www.crunchbase.com/organization/neft,"Credit, Financial Services, FinTech","Newport Beach, California, United States","Lantern Credit, LLC is a financial technology company working to solve systemic inefficiencies in the consumer credit market.",1,Early Stage Venture,42000000,USD,42000000,"20,378",$1M to $10M,Active,2013-01-01,year,,,For Profit,http://www.lanterncredit.com,11-50,2,"Financial Services, Lending and Investments",John Mack,1,1,,,Private,2
"Specific Media is a leading global media company connecting brands with consumers across one of the largest audiences worldwide. Our exclusive data partnerships, multi-screen and multi-format targeting capabilities, and innovative advertising solutions enable brands to influence purchasing decisions as they are being made. With over 500 premium publishing partners, superior reporting methodologies, and a suite of proprietary products, Specific Media allows for smarter and more efficient campaigns. Specific Media is headquartered in Irvine, California, with offices in New York, Los Angeles, Chicago, San Francisco, Seattle, Dallas, Boston, Detroit, Atlanta, and Minneapolis. Our international offices are located in The United Kingdom, France, Denmark, Norway, Sweden, and Germany. For more information, visit specificmedia.com and find us on Twitter, Facebook, and LinkedIn.",Specific Media,https://www.crunchbase.com/organization/specific-media,"Advertising, Auctions, Digital Media","Irvine, California, United States",Specific Media is a next generation media platform company that enables brands to seamlessly connect with consumers from anywhere.,6,,130868275,USD,130868275,"20,388",$10M to $50M,Active,2000-07-01,day,,,For Profit,http://www.specificmedia.com,501-1000,3,"Advertising, Commerce and Shopping, Media and Entertainment, Sales and Marketing","Francisco Partners, Kennet Partners, Enterprise Partners, Shepherd Ventures",3,4,4,Made Acquisitions,Private,
"Fuhu, Inc., creators of the Nabi Pad, Fooz Kids, and urDrive, is a leading provider of cloud-served software, applications, and services that are dedicated to creating deep and engaging user experiences on a range of consumer devices. Products include urDrive, a preloaded software solution on select Kingston USB Flash Drives that provides ""follow me"" content; Spinlets Plus, a global PC and Android cloud-served music solution; and Fooz Kids, a downloadable application that kiddifies your computer with apps, controlled by parents. Fuhu's most recent unveiling is the Nabi tablet -- a full-featured Android tablet and platform, made especially for kids. For more information, visit www.fuhu.com, www.nabitablet.com, and www.foozkids.com.",Fuhu,https://www.crunchbase.com/organization/fuhu,"Apps, Consumer Electronics, Enterprise Software, Software","El Segundo, California, United States","Fuhu is a designer and seller of cloud-served software, apps and products and services for children.",5,M&A,66248970,USD,66248970,"20,398",,Active,2006-01-01,year,2015-12-10,day,,http://www.fuhu.com/en,501-1000,3,"Apps, Consumer Electronics, Hardware, Software","Acer, KDDI, Simon Property Group, VIA Technologies, UMC Capital",1,8,,Was Acquired,Private,
"Today, brands and retailers rely heavily on marketplaces such as Amazon, eBay and Walmart to move inventory.  In addition, they spend significant sums with Google and Facebook to drive awareness and traffic, often with minimal ROI. MassGenie helps brands and retailers reduce their reliance on marketplaces, while decreasing their advertising investments with Google and Facebook by leveraging our patent pending Power Buy SaaS and AI/ML. MassGenie’s journey  was started in early 2015 by inventor and female Co-Founder, Thu Truong https://www.linkedin.com/in/thutruong/, who created  the Power Buy concept and infrastructure. Power Buys are short term, volume-based offers where buyers can use their social media influence to crowdsource demand. We spent two years developing the Power Buy technology, including creating a marketplace to prove the concept. A patent was filed for the Power Buy concept and technology in early 2016.  The MassGenie Marketplace officially launched in mid 2017.  Utilizing the Power Buy technology, buyers were able to leverage the power of social shopping and sharing to drive prices down. Not only did MassGenie prove the Power Buy concept, our marketplace growth was impressive. GMV grew from $311K in 2017, to $4.6 million in 2018, to $7.7 million in the first half of 2019.   MassGenie is now moving onto the next chapter of our journey, which is to make the Power Buy technology available to brands and retailers worldwide. Any brand or retailer with an ecommerce site via Shopify, Magento and BigCommerce or their own custom site, can take advantage of the Power Buy via a SaaS offering. MassGenie has also established strategic partnerships with a number of major ecommerce companies in Asia to help grow the Power Buy concept throughout that region.  MassGenie has also been working on our AL/ML engine for predictive analytics and demand sensing for Power Buy. This will allow us to service those brands and retailers that have the Power Buy SaaS technology on their own ecommerce site with AI-driven solutions while delivering optimized pricing and cross-sell, upsell and retention insights.",MassGenie,https://www.crunchbase.com/organization/massgenie,"Artificial Intelligence, Communities, Crowdsourcing, E-Commerce, Group Buying, Machine Learning, Marketplace, SaaS, Social Shopping","Irvine, California, United States",SaaS & AI ecommerce solutions for brands and retailers,4,,4700000,USD,4700000,"20,451",$1M to $10M,Active,2016-04-01,day,,,For Profit,http://www.massgenie.com,51-100,3,"Artificial Intelligence, Commerce and Shopping, Community and Lifestyle, Data and Analytics, Science and Engineering, Software","SV FRONTIER, Kohei Terada, Bruce Watanabe",2,3,,,Private,
"b Spot is a mobile games community that lets players legally Wager & Win real cash in the US. With $1,000s at stake, each wager is infused with live horse racing to determine payouts. Headquartered in Los Angeles, b Spot is US legal, authorized to conduct online horse wagering pursuant to state licenses and the federal Interstate Horseracing Act.  Founded by a team of proven entrepreneurs, b Spot is an innovative solution for game developers entering the legal gambling space inside the US. Our advanced technology platform delivers ongoing, end-to-end service that encompasses all regulatory, security, financial and player management requirements.",b spot,https://www.crunchbase.com/organization/b-spot,"Gambling, Internet, Mobile","Los Angeles, California, United States","bspot offers a community-based platform that enables players to play online games, bet, and win cash.",4,Seed,16000000,USD,16000000,"20,479",$1M to $10M,Active,2012-01-01,year,,,For Profit,https://bspot.com/,11-50,2,"Gaming, Internet Services, Mobile",Avant Global,,1,,,Private,
"Gravity is the world’s most advanced personalization company.  When you use a website or application powered by Gravity, it adapts to create a better experience just for you.  Using its proprietary Interest Graph, Gravity semantically understands each user’s individual interests, calculates the strength of those attachments over time and returns recommendations designed to optimize engagement and user experience.",Gravity,https://www.crunchbase.com/organization/gravity,"Advertising, Artificial Intelligence, Content, Internet, Personalization","Santa Monica, California, United States","Our mission is to personalize the web. We specifically focus on content personalization, surfacing the best organic and native ad content.",2,M&A,20600000,USD,20600000,"20,489",,Active,2009-04-01,day,2014-01-23,day,,http://www.gravity.com/,11-50,3,"Advertising, Artificial Intelligence, Data and Analytics, Internet Services, Media and Entertainment, Sales and Marketing, Science and Engineering, Software","Redpoint, Upfront Ventures, August Capital",3,3,,Was Acquired,Private,
