"","id","Organization.Name","Organization.Name.URL","Industries","Headquarters.Location","Description","CB.Rank..Company.","Estimated.Revenue.Range","Founded.Date","Founded.Date.Precision","Industry.Groups","Number.of.Founders","Number.of.Employees","Number.of.Funding.Rounds","Total.Funding.Amount","Total.Funding.Amount.Currency","Total.Funding.Amount.Currency..in.USD.","Number.of.Investors","IPO.Status","IPO.Date","Acquisition.Status","Number.of.Events","Number.of.Lead.Investors","Funding.Status","Last.Funding.Date","Last.Funding.Amount","Last.Funding.Amount.Currency","Last.Funding.Amount.Currency..in.USD.","Last.Funding.Type","IPqwery...Total.Patents","IPqwery...Total.Trademarks","Investment.Stage","Y"
"1593",1593,"Liquidmetal Technologies","https://www.crunchbase.com/organization/liquidmetal-technologies","Biotechnology, Manufacturing, Mining Technology, Precious Metals","Rancho Santa Margarita, California, United States","Liquidmetal Technologies focuses on the research, development and commercialization of amorphous metal.",38928,"Less than $1M","1984-01-01","year","Biotechnology, Manufacturing, Natural Resources, Science and Engineering","1","51-100","3","43525010","USD","43525010","NA","Public","2002-05-22","NA","NA","NA","IPO","2016-03-15","8400000","USD","8400000","Post-IPO Equity","8","14","NA",0
"1594",1594,"Force Impact Technologies","https://www.crunchbase.com/organization/force-impact-technologies","Sports, Young Adults","Los Angeles, California, United States","Force Impact Technologies is a company focused on integrating technology into sporting equipment.",38941,"NA","2013-05-01","day","Sports","2","1-10","10","1010500","USD","1010500","2","Private","NA","NA","5","NA","NA","2018-11-02","7e+05","USD","700000","Venture - Series Unknown","1","12","NA",0
"1595",1595,"Ricochet360","https://www.crunchbase.com/organization/speed-to-contact","Cloud Infrastructure, CRM, Marketing Automation, SaaS, Software","El Segundo, California, United States","Ricochet360 is an all-in-one CRM, Cloud Phone System, Dialer and Marketing Automation Platform.",38950,"Less than $1M","2010-01-01","year","Hardware, Information Technology, Internet Services, Sales and Marketing, Software","1","11-50","1","5e+05","USD","5e+05","NA","Private","NA","NA","1","NA","Seed","2017-10-15","5e+05","USD","500000","Seed","0","2","NA",0
"1596",1596,"Blockade Medical","https://www.crunchbase.com/organization/blockade-medical","Health Care, Medical Device, Therapeutics","Irvine, California, United States","Founded in 2011, Blockade Medical is a privately held company dedicated the development of catheter based therapeutic devices for the",38981,"NA","2011-01-01","year","Health Care","3","11-50","3","9378646","USD","9378646","2","Private","NA","Was Acquired","NA","NA","M&A","2015-11-10","2367687","USD","2367687","Venture - Series Unknown","3","2","NA",0
"1597",1597,"To The Tens (FAPL)","https://www.crunchbase.com/organization/fapl-llc","Advertising Platforms, Apps, E-Commerce, Fashion, Mobile, Social Media","Los Angeles, California, United States","We pursue the vision of “collaborative commerce” that will reshape the way brands and consumers interact in the digital environment.",39020,"Less than $1M","2015-04-28","day","Advertising, Apps, Clothing and Apparel, Commerce and Shopping, Design, Internet Services, Media and Entertainment, Mobile, Software","3","11-50","1","1e+06","USD","1e+06","NA","Private","NA","NA","1","NA","Seed","2015-05-18","1e+06","USD","1000000","Seed","2","2","NA",0
"1598",1598,"Washos","https://www.crunchbase.com/organization/washos","Customer Service, Mobile Apps, Service Industry","Glendale, California, United States","Washos is an on-demand car service app that sends you skilled technicians at your home or office.",39021,"Less than $1M","2015-03-12","day","Apps, Mobile, Software","4","1-10","1","445000","USD","445000","1","Private","NA","NA","NA","NA","Seed","2016-06-01","445000","USD","445000","Seed","NA","NA","NA",0
"1599",1599,"Netlist","https://www.crunchbase.com/organization/netlist","Information Technology, Infrastructure, Manufacturing","Irvine, California, United States","Netlist manufactures and markets a comprehensive line of mission-critical, board-level memory products used in IT infrastructure equipment.",39047,"$1M to $10M","2000-01-01","year","Information Technology, Manufacturing","3","51-100","2","16648351","USD","16648351","1","Public","2006-11-30","NA","1","NA","IPO","2013-08-02","1648351","USD","1648351","Post-IPO Equity","91","12","NA",0
"1600",1600,"Playboy","https://www.crunchbase.com/organization/playboy","Digital Media, Lifestyle, Mobile","Beverly Hills, California, United States","Playboy Enterprises is a media and lifestyle company engaged various licensing operations.",39061,"$10M to $50M","1953-01-01","year","Community and Lifestyle, Media and Entertainment, Mobile","NA","101-250","NA","NA","NA","NA","NA","Private","NA","Made Acquisitions","NA","NA","NA","NA","NA","NA","NA","NA","0","5","NA",0
"1601",1601,"OOTify","https://www.crunchbase.com/organization/ootify","Health Care, Wellness","Los Angeles, California, United States","OOTify is a mental telehealth marketplace and mobile app that empowers Providers and improves access to mental healthcare.",39120,"NA","2017-06-01","month","Health Care","NA","1-10","2","165000","USD","165000","2","Private","NA","NA","NA","NA","Seed","2018-08-02","165000","USD","165000","Seed","0","1","NA",0
"1602",1602,"theAudience","https://www.crunchbase.com/organization/theaudience","Consulting, Social Media, Social Media Marketing","Los Angeles, California, United States","theAudience is a D2C publishing company that publishes multichannel social content.",39212,"NA","2011-04-01","day","Internet Services, Media and Entertainment, Sales and Marketing","4","101-250","1","2e+07","USD","2e+07","5","Private","NA","Was Acquired","NA","1","M&A","2012-11-19","2e+07","USD","20000000","Series A","NA","NA","NA",0
"1603",1603,"Medversant","https://www.crunchbase.com/organization/medversant","Health Care, Information Services, Information Technology","Los Angeles, California, United States","Medversant is the leader in technology solutions for one of the most critical components of healthcare administration",39233,"$1M to $10M","1999-01-01","year","Health Care, Information Technology","1","11-50","1","6350000","USD","6350000","NA","Private","NA","NA","NA","NA","NA","2014-08-13","6350000","USD","6350000","Debt Financing","4","5","NA",0
"1604",1604,"Mav Farm","https://www.crunchbase.com/organization/mav-farm","E-Commerce, Internet, Media and Entertainment, Mobile, Social Media","Los Angeles, California, United States","Decentralizing the universes' art",39246,"NA","2016-12-15","day","Commerce and Shopping, Internet Services, Media and Entertainment, Mobile","2","NA","1","3500000","USD","3500000","NA","Private","NA","NA","NA","NA","Seed","2017-04-15","3500000","USD","3500000","Seed","0","2","NA",0
"1605",1605,"Apollo Robotic Systems","https://www.crunchbase.com/organization/apollo-robotic-systems","Artificial Intelligence, Machine Learning, Robotics","Ventura, California, United States","Autonomous surveying platform",39247,"NA","2015-01-01","year","Artificial Intelligence, Data and Analytics, Hardware, Science and Engineering, Software","3","1-10","2","844000","USD","844000","1","Private","NA","NA","NA","NA","Seed","2016-05-13","844000","USD","844000","Angel","0","2","NA",0
"1606",1606,"DLC","https://www.crunchbase.com/organization/dlc","Accounting, Project Management","Woodland Hills, California, United States","DLC helps companies transform ideas into action, one project at a time",39249,"NA","1993-01-01","year","Financial Services, Professional Services","1","251-500","1","1.4e+07","USD","1.4e+07","1","Private","NA","Made Acquisitions, Was Acquired","NA","NA","M&A","2014-08-22","1.4e+07","USD","14000000","Debt Financing","NA","NA","NA",0
"1607",1607,"Carenote","https://www.crunchbase.com/organization/carenote","Android, Apps, Information Technology, Messaging, Mobile, Telecommunications","Santa Monica, California, United States","At Carenote, we provide a companionship service through check-ins and conversations via mobile phone, chat and text/SMS.",39256,"NA","2018-01-01","year","Apps, Hardware, Information Technology, Internet Services, Messaging and Telecommunications, Mobile, Platforms, Software","2","1-10","1","2500000","USD","2500000","1","Private","NA","NA","NA","NA","Seed","2018-11-13","2500000","USD","2500000","Seed","NA","NA","NA",0
"1608",1608,"Tuli Technologies","https://www.crunchbase.com/organization/tuli-technologies","E-Commerce, Food and Beverage, Food Delivery, Information Technology, Internet, Social Shopping, Software","San Clemente, California, United States","The first social-commerce community for foodies all over the world.",39278,"NA","2018-02-01","day","Commerce and Shopping, Food and Beverage, Information Technology, Internet Services, Software, Transportation","2","11-50","2","715000","USD","715000","1","Private","NA","NA","NA","NA","Seed","2019-11-01","525000","USD","525000","Convertible Note","NA","NA","NA",0
"1609",1609,"Capillary Biomedical","https://www.crunchbase.com/organization/capillary-biomedical","Health Care, Medical, Medical Device","Irvine, California, United States","Capillary Biomedical is a medical device startup developing technologies for diabetes management.",39289,"Less than $1M","2014-01-01","year","Health Care","1","1-10","3","2985000","USD","2985000","9","Private","NA","NA","NA","1","Private Equity","2019-10-01","NA","NA","NA","Private Equity","2","11","NA",0
"1610",1610,"7 Generation Games","https://www.crunchbase.com/organization/7-generation-games","Apps, Education, Gaming, Parenting, Video Games","Santa Monica, California, United States","7 Generation Games makes immersive video games and interactive apps that teach math – in English and Spanish.    ",39326,"$1M to $10M","2012-01-01","year","Apps, Community and Lifestyle, Education, Gaming, Software","3","1-10","10","2395000","USD","2395000","3","Private","NA","NA","NA","NA","Seed","2018-10-15","15000","USD","15000","Grant","0","1","NA",0
"1611",1611,"BestBeing","https://www.crunchbase.com/organization/bestbeing","E-Commerce, Information Technology, Internet","Winnetka, California, United States","Enterprise Solutions, HR, Wellness Tech",39327,"NA","2018-04-04","day","Commerce and Shopping, Information Technology, Internet Services","3","1-10","1","3e+05","USD","3e+05","NA","Private","NA","NA","NA","NA","Seed","2019-01-01","3e+05","USD","300000","Pre-Seed","NA","NA","NA",0
"1612",1612,"Socionado","https://www.crunchbase.com/organization/socionado","Advertising, Marketing, Social Media","Los Angeles, California, United States","Let Your Company Culture Speak For Itself. We customize and manage an employer brand team for your enterprise. Over 250+ teams.",39337,"NA","2018-06-01","day","Advertising, Internet Services, Media and Entertainment, Sales and Marketing","1","1-10","1","250000","USD","250000","2","Private","NA","NA","NA","1","Seed","2018-06-01","250000","USD","250000","Seed","NA","NA","NA",0
"1613",1613,"Givesurance","https://www.crunchbase.com/organization/givesurance","Charity, Insurance","Woodland Hills, California, United States","Helps people support the charities that matter to them by leveraging their choice of insurance provider.",39385,"$1M to $10M","2013-01-01","year","Financial Services","1","11-50","3","1e+06","USD","1e+06","4","Private","NA","NA","2","1","Seed","2015-06-23","9e+05","USD","900000","Seed","NA","NA","NA",0
"1614",1614,"Nestigator.com","https://www.crunchbase.com/organization/nestigator-com","Internet, Lifestyle, Real Estate","Los Angeles, California, United States","Revolutionizing real estate search with relevant, custom tailored local content and a comprehensive listings menu.",39437,"$1M to $10M","2014-03-13","day","Community and Lifestyle, Internet Services, Real Estate","1","1-10","1","3e+06","USD","3e+06","1","Private","NA","NA","NA","1","Early Stage Venture","2015-04-26","3e+06","USD","3000000","Series A","NA","NA","NA",0
"1615",1615,"AECOM","https://www.crunchbase.com/organization/aecom","Civil Engineering, Construction, Consulting, Energy, Government, Information Technology","Los Angeles, California, United States","AECOM is a global provider of professional technical and management support services to a broad range of markets.",39459,"$1B to $10B","1990-01-01","year","Energy, Government and Military, Information Technology, Real Estate, Science and Engineering","1","10001+","NA","NA","NA","NA","NA","Public","2007-05-18","Made Acquisitions","4","NA","IPO","NA","NA","NA","NA","NA","23","71","NA",0
"1616",1616,"Secure Channels","https://www.crunchbase.com/organization/secure-channels","Computer, Cyber Security, Information Technology","Irvine, California, United States","Secure Channels Inc. is a cybersecurity firm leveraging robust, state-of-the-art patented encryption technologies.",39485,"NA","2013-01-01","year","Consumer Electronics, Hardware, Information Technology, Privacy and Security","5","11-50","1","1e+06","USD","1e+06","NA","Private","NA","NA","7","NA","NA","2017-10-03","1e+06","USD","1000000","Venture - Series Unknown","4","12","NA",0
"1617",1617,"Calhoun Vision","https://www.crunchbase.com/organization/calhoun-vision","Biotechnology, Eyewear, Health Care","Pasadena, California, United States","Calhoun Vision is focused on developing vision correction technologies for post-cataract surgery patients.",39610,"$1M to $10M","1999-01-01","year","Biotechnology, Consumer Goods, Health Care, Science and Engineering","1","1-10","5","95375917","USD","95375917","4","Private","NA","NA","NA","1","NA","2015-06-04","5.2e+07","USD","52000000","Venture - Series Unknown","7","1","NA",0
"1618",1618,"Forever 21","https://www.crunchbase.com/organization/forever-21","E-Commerce, Fashion, Retail","Los Angeles, California, United States","Forever 21 operates as a clothing retailer company.",39658,"NA","1984-04-21","day","Clothing and Apparel, Commerce and Shopping, Design","1","10001+","1","NA","NA","NA","1","Private","NA","NA","NA","NA","NA","2020-02-19","NA","NA","NA","Corporate Round","3","94","NA",0
"1619",1619,"nuvoTV","https://www.crunchbase.com/organization/nuvotv","Digital Entertainment, Media and Entertainment, TV","Glendale, California, United States","NuvoTV is a television network for American bi-cultural Latinos.",39751,"$1M to $10M","1997-01-01","year","Media and Entertainment, Video","1","51-100","2","48700000","USD","48700000","3","Private","NA","Made Acquisitions","NA","NA","NA","2012-08-28","4e+07","USD","40000000","Venture - Series Unknown","NA","NA","NA",0
"1620",1620,"Cloudbreak Therapeutics","https://www.crunchbase.com/organization/cloudbreak-therapeutics","Biotechnology, Health Care","Irvine, California, United States","Cloudbreak Therapeutics is a clinical stage biotechnology company",39764,"NA","2015-09-01","month","Biotechnology, Health Care, Science and Engineering","2","NA","1","15816642","USD","15816642","1","Private","NA","NA","NA","1","Early Stage Venture","2018-10-26","15816642","USD","15816642","Series A","10","0","NA",0
"1621",1621,"Access Integrated Healthcare","https://www.crunchbase.com/organization/access-integrated-healthcare","Finance, Health Care, Hospital","Glendale, California, United States","Access Integrated Healthcareis a Los Angeles-based healthcare services company .",39766,"NA","2014-10-01","day","Financial Services, Health Care","1","101-250","2","58500000","USD","58500000","1","Private","NA","NA","NA","1","Private Equity","2015-09-30","5e+07","USD","50000000","Private Equity","NA","NA","NA",0
"1622",1622,"Apliiq","https://www.crunchbase.com/organization/apliiq","Internet, Manufacturing, Social Media","Los Angeles, California, United States","Apliiq is a new media fashion company that manufactures garments for men and women.",39841,"NA","2009-01-01","year","Internet Services, Manufacturing, Media and Entertainment","1","11-50","1","270000","USD","270000","NA","Private","NA","NA","NA","NA","Seed","2014-03-25","270000","USD","270000","Seed","1","1","NA",0
"1623",1623,"Foray Collective","https://www.crunchbase.com/organization/foray-collective","E-Commerce, Fashion","Los Angeles, California, United States","An inventory-less online retailer with a built in marketing platform that enables tastemakers to create UGC and drive traffic to storefronts",39866,"Less than $1M","2015-11-01","month","Clothing and Apparel, Commerce and Shopping, Design","3","1-10","2","2075000","USD","2075000","3","Private","NA","NA","NA","1","Seed","2017-12-30","1075000","USD","1075000","Pre-Seed","NA","NA","NA",0
"1624",1624,"Syntiant","https://www.crunchbase.com/organization/syntiant","Artificial Intelligence, Machine Learning, Semiconductor","Irvine, California, United States","Syntiant is a new breed of semiconductor company,  combining the best of deep learning and semiconductor design.",39885,"$1M to $10M","2017-01-01","year","Artificial Intelligence, Data and Analytics, Hardware, Science and Engineering, Software","4","NA","3","30059996","USD","30059996","12","Private","NA","NA","NA","2","Early Stage Venture","2018-10-24","2.5e+07","USD","25000000","Series B","0","2","NA",0
"1625",1625,"Curely","https://www.crunchbase.com/organization/curely","Health Care, mHealth","Newport Beach, California, United States","Curely gives you 24/7 access to board certified doctors around the world at your fingertips!",39887,"$1M to $10M","2014-06-18","day","Health Care, Mobile","3","11-50","1","2e+06","USD","2e+06","1","Private","NA","NA","NA","NA","Seed","2015-07-06","2e+06","USD","2000000","Seed","0","1","NA",0
"1626",1626,"League of Legends","https://www.crunchbase.com/organization/league-of-legends","Gaming, Online Portals, Video Games","Los Angeles, California, United States","League of Legends is a fast-paced, competitive online game.",39907,"$500M to $1B","2009-10-27","day","Gaming, Internet Services","NA","NA","NA","NA","NA","NA","NA","Private","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",0
"1627",1627,"Readz","https://www.crunchbase.com/organization/readz","Content, Content Creators, Content Delivery Network, Mobile, SaaS, Software, Web Design","Woodland Hills, California, United States","Readz. The Content Creation Platform. Better Content Experiences For a Better Web.",39922,"NA","2011-01-01","year","Content and Publishing, Design, Media and Entertainment, Mobile, Software","1","11-50","4","13595000","USD","13595000","4","Private","NA","NA","NA","1","NA","2015-07-16","7150000","USD","7150000","Venture - Series Unknown","NA","NA","NA",0
"1628",1628,"Digitour Media","https://www.crunchbase.com/organization/digitour-media","Content, Internet, Social Media, Tourism, Travel, Video","Los Angeles, California, United States","World's First Social Media Tour & Music Festival",39961,"$1M to $10M","2010-07-01","day","Internet Services, Media and Entertainment, Travel and Tourism, Video","2","11-50","4","12200000","USD","12200000","10","Private","NA","NA","NA","1","NA","2015-10-20","1e+07","USD","10000000","Venture - Series Unknown","0","3","NA",0
"1629",1629,"SpinLaunch","https://www.crunchbase.com/organization/spinlaunch","Aerospace, Manufacturing, Space Travel","Long Beach, California, United States","SpinLaunch develops a kinetic launch system for sending satellites to low-Earth orbit.",39965,"Less than $1M","2014-01-01","year","Manufacturing, Science and Engineering, Transportation","1","51-100","4","7.5e+07","USD","7.5e+07","11","Private","NA","NA","NA","4","NA","2020-01-16","3.5e+07","USD","35000000","Venture - Series Unknown","4","2","NA",0
"1630",1630,"insellerate","https://www.crunchbase.com/organization/insellerate","Internet","Costa Mesa, California, United States","InSellerate empowers mortgage teams to contact, convert, and close more loans.",39966,"$10M to $50M","2012-01-01","year","Internet Services","1","NA","1","1250000","USD","1250000","1","Private","NA","NA","NA","1","Private Equity","2017-02-20","1250000","USD","1250000","Private Equity","0","3","NA",0
"1631",1631,"Kelley Blue Book","https://www.crunchbase.com/organization/kelly-blue-book","Automotive","Irvine, California, United States","Kelley Blue Book provides The Trusted Resource® which provides vehicle buyers and sellers with information on new and used-vehicles.",39975,"NA","1926-01-01","year","Transportation","NA","251-500","NA","NA","NA","NA","NA","Private","NA","Made Acquisitions, Was Acquired","1","NA","M&A","NA","NA","NA","NA","NA","NA","NA","NA",0
"1632",1632,"Mattel","https://www.crunchbase.com/organization/mattel","Consumer Goods, Online Games, PC Games, Toys","El Segundo, California, United States","Mattel is the worldwide leader in the design, manufacture, and marketing of toys and family products.",39976,"$1B to $10B","1945-01-01","day","Consumer Goods, Gaming","2","10001+","NA","NA","NA","NA","NA","Public","2009-10-09","Made Acquisitions","2","NA","IPO","NA","NA","NA","NA","NA","1,237","3,651","NA",0
"1633",1633,"Twigtale","https://www.crunchbase.com/organization/twigtale","Education, Parenting, Publishing","Los Angeles, California, United States","Twigtale builds happier families through personalization and expert-fueled storytelling. Scripted by experts, Personalized by you.",39988,"$1M to $10M","2011-01-01","year","Community and Lifestyle, Content and Publishing, Education, Media and Entertainment","3","1-10","2","1205000","USD","1205000","14","Private","NA","NA","NA","NA","Seed","2015-04-21","1085000","USD","1085000","Seed","NA","NA","NA",0
"1634",1634,"W8X","https://www.crunchbase.com/organization/w8x","Fitness, Health Care, Wellness","Venice, California, United States","W8X develops robotics inspired fitness equipment to make strength training more effective and fun.",39995,"NA","2017-09-01","day","Health Care, Sports","4","1-10","5","125000","USD","125000","5","Private","NA","NA","NA","NA","Seed","2018-06-01","NA","NA","NA","Angel","NA","NA","NA",0
"1635",1635,"Network Optix","https://www.crunchbase.com/organization/network-optix","Software, Video","Burbank, California, United States","Network Optix is a software development company focused on creating cutting edge video management solutions.",40013,"$1M to $10M","2011-02-07","day","Media and Entertainment, Software, Video","2","51-100","1","750000","USD","750000","2","Private","NA","NA","2","NA","NA","2011-11-30","750000","USD","750000","Debt Financing","0","4","NA",0
"1636",1636,"Poptent","https://www.crunchbase.com/organization/poptent","Advertising, Brand Marketing, Content, Photography, Project Management, Video","San Clemente, California, United States","Poptent is a social video marketing platform that supports videographers to create and manage video projects from start to finish.",40060,"$10M to $50M","2007-03-01","day","Advertising, Content and Publishing, Media and Entertainment, Sales and Marketing, Video","1","1-10","3","15282497","USD","15282497","1","Private","NA","NA","NA","1","NA","2012-07-12","5500000","USD","5500000","Venture - Series Unknown","NA","NA","NA",0
"1637",1637,"Imaging Advantage","https://www.crunchbase.com/organization/imaging-advantage","Health Care, Hospital, Medical","Santa Monica, California, United States","Imaging Advantage provides evidence-based, end-to-end, technology-enhanced radiology solutions to hospitals in the U.S.",40125,"NA","2006-01-01","year","Health Care","4","501-1000","4","5e+06","USD","5e+06","2","Private","NA","Was Acquired","NA","1","M&A","2012-08-31","NA","NA","NA","Venture - Series Unknown","5","3","NA",0
"1638",1638,"Greenwood Hall","https://www.crunchbase.com/organization/greenwood-hall","EdTech, Education","Los Angeles, California, United States","Greenwood Hall (OTCBB:ELRN) helps colleges and universities powerfully advance their mission of increasing enrollments,",40142,"$1M to $10M","1998-02-01","month","Education, Software","2","51-100","1","8e+06","USD","8e+06","NA","Public","2014-01-08","Made Acquisitions","NA","NA","IPO","2014-08-25","8e+06","USD","8000000","Venture - Series Unknown","NA","NA","NA",0
"1639",1639,"1200 Pharma","https://www.crunchbase.com/organization/1200-pharma","Biotechnology, Health Care, Pharmaceutical","Pasadena, California, United States","Breakthrough medicinal chemistry technology to dramatically accelerate pre-clinical drug discovery and clinical approval timelines.",40166,"NA","2017-01-01","year","Biotechnology, Health Care, Science and Engineering","NA","NA","1","6249997","USD","6249997","1","Private","NA","NA","NA","1","Seed","2017-11-22","6249997","USD","6249997","Seed","NA","NA","NA",0
"1640",1640,"Gracelock Industries","https://www.crunchbase.com/organization/gracelock-industries","E-Commerce, Home Decor, Industrial, Sports","Los Angeles, California, United States","Gracelock Industries, a Los Angeles, California-based e-commerce provider to the marine, power sports, and home décor industries",40196,"NA","2011-01-01","year","Commerce and Shopping, Real Estate, Sports","NA","NA","1","20800000","USD","20800000","1","Private","NA","NA","NA","NA","NA","2014-05-09","20800000","USD","20800000","Debt Financing","NA","NA","NA",0
"1641",1641,"Stashimi Inc.","https://www.crunchbase.com/organization/stashimi-inc","Computer, Music, Real Time","Glendale, California, United States","Stashimi is the first app that uses smart aggregation to keep you up-to-date with the artists you care about.",40210,"Less than $1M","2015-06-15","day","Consumer Electronics, Hardware, Media and Entertainment, Music and Audio","2","11-50","2","8721562","USD","8721562","3","Private","NA","NA","NA","2","Early Stage Venture","2017-12-18","4221562","USD","4221562","Series A","NA","NA","NA",0
"1642",1642,"Leapcure","https://www.crunchbase.com/organization/leapcure","Clinical Trials, Health Care","Los Angeles, California, United States","Leapcure offers tools for clinical trial patient recruitment, engagement, and retention.",40212,"$1M to $10M","2015-01-01","year","Health Care","1","1-10","1","125000","USD","125000","1","Private","NA","NA","1","NA","Seed","2016-09-09","125000","USD","125000","Seed","NA","NA","NA",0
"1643",1643,"Mythical Games","https://www.crunchbase.com/organization/mythical-games","Blockchain, Gaming, Video Games","Los Angeles, California, United States","Mythical Games is a video game engine for player-owned economies.",40223,"NA","2018-04-01","month","Gaming","5","11-50","4","38099999","USD","38099999","11","Private","NA","Made Acquisitions","NA","3","Early Stage Venture","2019-11-04","1.9e+07","USD","19000000","Series A","2","7","NA",0
"1644",1644,"Smith-Cooper International","https://www.crunchbase.com/organization/smith-cooper-international","Business Information Systems, Customer Service","Commerce, California, United States","Smith-Cooper provides pipe, valves and fittings to a wide range of customers and end markets.",40245,"$50M to $100M","1993-01-01","year","Information Technology","1","251-500","2","12500000","USD","12500000","2","Private","NA","Made Acquisitions","NA","1","NA","2019-01-01","NA","NA","NA","Undisclosed","0","9","NA",0
"1645",1645,"Ader","https://www.crunchbase.com/organization/ader","Brand Marketing, Content Marketing, Digital Marketing, Gaming, Marketing, Marketplace, Social Media Marketing, Video Games","Los Angeles, California, United States","Ader helps brands sponsor eSports Influencers on Twitch.",40272,"$1M to $10M","2014-10-01","month","Commerce and Shopping, Gaming, Sales and Marketing","3","11-50","3","245000","USD","245000","3","Private","NA","NA","1","1","Seed","2016-06-30","120000","USD","120000","Seed","NA","NA","NA",0
"1646",1646,"eWellness Corporation","https://www.crunchbase.com/organization/ewellness-corporation","Health Care, Medical, Personal Health, Rehabilitation, Therapeutics, Wellness","Culver City, California, United States","We are first to market with our telemedicine based distance monitored physical therapy exercise (“DMpt”) program.",40333,"Less than $1M","2013-05-20","day","Health Care","1","1-10","4","2005500","USD","2005500","1","Public","2017-04-27","NA","NA","1","IPO","2018-06-21","1500000","USD","1500000","Private Equity","NA","NA","NA",0
"1647",1647,"TallyGo","https://www.crunchbase.com/organization/clearpath","Android, Apps, iOS, Mapping Services, Navigation, SaaS","Venice, California, United States","The World's First Navigation as a Service",40374,"$1M to $10M","2014-09-01","day","Apps, Mobile, Navigation and Mapping, Platforms, Software","1","11-50","2","1e+06","USD","1e+06","3","Private","NA","NA","1","NA","NA","2016-09-01","NA","NA","NA","Venture - Series Unknown","0","3","NA",0
"1648",1648,"Mandt Media","https://www.crunchbase.com/organization/mandt-vr","Broadcasting, Content Creators, Event Management","Los Angeles, California, United States","Mandt Media is an entertainment and media studio specializing in the production of premium AR, VR, and AI content solutions.",40377,"$1M to $10M","2015-01-01","year","Events, Media and Entertainment, Video","2","11-50","1","1e+07","USD","1e+07","NA","Private","NA","NA","NA","NA","Private Equity","2017-01-06","1e+07","USD","10000000","Private Equity","NA","NA","NA",0
"1649",1649,"Swelly","https://www.crunchbase.com/organization/dvel","Information Technology, Software","Marina Del Rey, California, United States","Swelly helps people to make better decisions in a unique voting experience on iOS & Android as well as our multiplatform Swelly chatbot",40404,"Less than $1M","2015-04-22","day","Information Technology, Software","3","11-50","2","6e+05","USD","6e+05","3","Private","NA","NA","NA","1","Seed","2016-02-02","3e+05","USD","300000","Seed","0","1","NA",0
"1650",1650,"MiCardia Corporation","https://www.crunchbase.com/organization/micardia-corporation","Health Care, Medical, Medical Device","Irvine, California, United States","MiCardia is a privately held medical device company developing technology platforms to optimize mitral valve repair.",40438,"$1M to $10M","2004-01-01","year","Health Care","1","11-50","6","28926940","USD","28926940","4","Private","NA","NA","NA","NA","NA","2012-04-05","3696105","USD","3696105","Debt Financing","8","4","NA",0
"1651",1651,"Veracity Industrial Networks","https://www.crunchbase.com/organization/veracity-security-intelligence","Industrial, Network Security, Software","Aliso Viejo, California, United States","Veracity provides a resilient and secure industrial network, based on a Software Defined Networking (SDN) platform.",40446,"Less than $1M","2014-01-01","year","Information Technology, Privacy and Security, Software","2","11-50","3","4500000","USD","4500000","4","Private","NA","NA","NA","2","Seed","2017-08-28","1500000","USD","1500000","Seed","2","3","NA",0
"1652",1652,"iPourit","https://www.crunchbase.com/organization/ipourit","Craft Beer, Loyalty Programs, Wine And Spirits","Lake Forest, California, United States","Self-serve Draft Beer & Premium Wine",40451,"Less than $1M","2012-01-01","year","Food and Beverage, Sales and Marketing","2","1-10","3","4139003","USD","4139003","1","Private","NA","NA","NA","1","NA","2015-06-10","1339003","USD","1339003","Venture - Series Unknown","2","2","NA",0
"1653",1653,"WoahStork","https://www.crunchbase.com/organization/woahstork-2","Cannabis, E-Commerce, Internet, Marketplace","Santa Monica, California, United States","Your online cannabis marketplace.",40484,"$1M to $10M","2015-11-01","month","Commerce and Shopping, Community and Lifestyle, Food and Beverage, Health Care, Internet Services","3","1-10","2","1610000","USD","1610000","NA","Private","NA","NA","NA","NA","Seed","2017-10-01","750000","USD","750000","Seed","NA","NA","NA",0
"1654",1654,"ZON","https://www.crunchbase.com/organization/zon","Consumer Electronics, Mobile, Solar","El Segundo, California, United States","Welcome to ZON, a technology solution company catering to the charging demands of mobile device consumers.",40484,"Less than $1M","2012-08-01","month","Consumer Electronics, Energy, Hardware, Mobile, Natural Resources, Sustainability","2","1-10","1","2500000","USD","2500000","NA","Private","NA","NA","NA","NA","Seed","2015-03-31","2500000","USD","2500000","Seed","NA","NA","NA",0
"1655",1655,"Petroteq Energy","https://www.crunchbase.com/organization/petroteq-energy","Energy, Natural Resources, Oil and Gas","Studio City, California, United States","A Canadian-registered holding company.",40499,"Less than $1M","2012-01-01","year","Energy, Natural Resources, Sustainability","1","11-50","2","9640000","USD","9640000","NA","Public","2012-11-02","Made Acquisitions","NA","NA","IPO","2018-08-28","3955000","USD","3955000","Post-IPO Equity","NA","NA","NA",0
"1656",1656,"Inklocker","https://www.crunchbase.com/organization/inklocker","Industrial Manufacturing, Machinery Manufacturing, Manufacturing","Los Angeles, California, United States","inklocker is the AWS for custom-manufacturing providing a decentralized global network of on-demand manufactures.",40512,"$1M to $10M","2016-06-06","day","Manufacturing","2","NA","4","1495000","USD","1495000","8","Private","NA","NA","NA","1","Seed","2019-02-04","NA","NA","NA","Pre-Seed","NA","NA","NA",0
